School_Name|Reg_nr|Language|Address|Year|Number_of_students|Active
Rīgas pilsētas 3. ģimnāzija|3416900794|Latviešu|GRĒCINIEKU IELA 10, RĪGA, LV-1050|2009|820|1
Natālijas Draudziņas ģimnāzija|3413900791|Latviešu|BRUŅINIEKU IELA 24a, RĪGA, LV-1001|2009|562|1
Rīgas 22. vidusskola|3413900799|Krievu|BRUŅINIEKU IELA 10, RĪGA, LV-1001|2009|617|1
Rīgas M. Lomonosova krievu vidusskola|3413900792|Krievu|AKAS IELA 10, RĪGA, LV-1011|2009|347|1
Rīgas 40. vidusskola|3413900797|Krievu|TĒRBATAS IELA 15/17, RĪGA, LV-1011|2009|958|1
Rīgas Centra humanitārā vidusskola|3413900790|Latviešu|KRIŠJĀŅA BARONA IELA 97a, RĪGA, LV-1012|2009|827|1
Rīgas 99. vidusskola|3413900798|Latviešu|TALLINAS IELA 57, RĪGA, LV-1012|2009|326|1
Privātā Rīgas Tehnolingvistiskā ģimnāzija|3413801138|Krievu|ĢERTRŪDES IELA 27, RĪGA, LV-1011|2009|49|1
Dienas apmācības klases pie Rīgas Raiņa 8. vakara (maiņu) vidusskolas|3414900800|Latviešu|KRIŠJĀŅA BARONA IELA 71, RĪGA, LV-1001|2009|23|1
"Rīgas sākumskola ""Valodiņa"""|3420900801|Latviešu|BLAUMAŅA IELA 26, RĪGA, LV-1011|2009|153|1
Rīgas 1. speciālā internātpamatskola|3420900802|Latviešu|ĢERTRŪDES IELA 18, RĪGA, LV-1011|2009|161|1
Vispārējās vidējās izglītības izlīdzinošā programma pie Rīgas Būvniecības vidusskolas|3331002793|Latviešu|KRIŠJĀŅA VALDEMĀRA IELA 163, RĪGA, LV-1013|2009|65|1
Āgenskalna sākumskola|3511900641|Latviešu|KANDAVAS IELA 4/1, RĪGA, LV-1083|2009|548|1
Starptautiskā Rīgas sākumskola|3511802055|Angļu|ZVEJNIEKU IELA 12, RĪGA, LV-1048|2009|73|1
Rīgas Valdorfskola|3512900779|Latviešu|RAŅĶA DAMBIS 3, RĪGA, LV-1048|2009|226|1
Āgenskalna ģimnāzija|3513900642|Latviešu|ĀGENSKALNA IELA 21a, RĪGA, LV-1048|2009|643|1
Rīgas 19. vidusskola|3513900771|Latviešu|MIGLAS IELA 9, RĪGA, LV-1016|2009|380|1
Rīgas 33. vidusskola|3513900836|Krievu|STŪRMAŅU IELA 23, RĪGA, LV-1016|2009|785|1
Rīgas 34. vidusskola|3513900765|Krievu|KANDAVAS IELA 4, RĪGA, LV-1083|2009|907|1
Rīgas 41. vidusskola|3513900768|Latviešu|SLOKAS IELA 49a, RĪGA, LV-1007|2009|440|1
Rīgas 54. vidusskola|3513900764|Krievu|BALTĀ IELA 22, RĪGA, LV-1055|2009|442|1
Iļģuciema vidusskola|3513900770|Latviešu|DZIRCIEMA IELA 109, RĪGA, LV-1055|2009|517|1
Rīgas Daugavgrīvas vidusskola|3513900766|Krievu|PARĀDES IELA 5, RĪGA, LV-1016|2009|535|1
Rīgas 68. vidusskola|3513900769|Krievu|DZIRCIEMA IELA 43a, RĪGA, LV-1083|2009|418|1
Rīgas 69. vidusskola|3513900774|Latviešu|IMANTAS IELA 11a, RĪGA, LV-1067|2009|495|1
Rīgas 96. vidusskola|3513900776|Krievu|AURU IELA 6a, RĪGA, LV-1069|2009|845|1
Rīgas 71. vidusskola|3513900772|Krievu|IĻĢUCIEMA IELA 6, RĪGA, LV-1055|2009|744|1
Rīgas Ostvalda vidusskola|3513900775|Krievu|DAMMES IELA 20, RĪGA, LV-1069|2009|655|1
Rīgas Anniņmuižas vidusskola|3513900767|Krievu|KLEISTU IELA 14, RĪGA, LV-1067|2009|716|1
Rīgas Imantas vidusskola|3513900773|Latviešu|KURZEMES PROSPEKTS 158, RĪGA, LV-1029|2009|827|1
"Privātskola ""Latreia"""|3513800288|Krievu|KULDĪGAS IELA 45, RĪGA, LV-1083|2009|113|1
"Privātā vidusskola ""Templum"""|3513802325|Krievu|MEŽA IELA 4, RĪGA, LV-1055|2009|38|1
"Privātā vidusskola ""Patnis"""|3513802582|Latviešu|GREGORA IELA 13a, RĪGA, LV-1046|2009|169|1
Rīgas 71. vidusskolas Bērnu-invalīdu izglītības un rehabilitācijas centrs|3520900833|LK|GRĪVAS IELA 26, RĪGA, LV-1055|2009|79|1
Pamatskolas klases pie Rīgas Doma kora skolas|3331301251|Latviešu|KALNCIEMA IELA 10/12, RĪGA, LV-1048|2009|182|1
pamatskolas klases pie Emīla Dārziņa mūzikas vidusskolas|3331301249|LK|Kalnciema 10/12, RĪGA, LV-1048|2009|241|1
Rīgas Pļavnieku sākumskola|3611901870|Latviešu|ULBROKAS IELA 20, RĪGA, LV-1021|2009|328|1
Rīgas sākumskola „Papatya”|3611802618|Latviešu|ĢERTRŪDES IELA 127a, RĪGA, LV-1009|2009|3|1
Andreja Pumpura Rīgas 11. pamatskola|3612900689|Latviešu|MASKAVAS IELA 197, RĪGA, LV-1019|2009|317|1
O.Kalpaka Rīgas Tautas daiļamatu pamatskola|3612900688|Latviešu|SKRINDU IELA 1, RĪGA, LV-1003|2009|443|1
Rīgas Baltkrievu pamatskola|3612900249|Baltkrievu|AKADĒMIĶA MSTISLAVA KELDIŠA IELA 4, RĪGA, LV-1082|2009|100|1
