IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Robežnieku pamatskola,46.62%,7,LAT9
Rojas vidusskola,74.70%,20,LAT9
Ropažu vidusskola,70.17%,24,LAT9
Rožupes pamatskola,66.55%,5,LAT9
Rubenes pamatskola,65.50%,19,LAT9
Rubeņu pamatskola,58.38%,9,LAT9
Rucavas pamatskola,73.58%,8,LAT9
Rudzātu vidusskola,71.75%,7,LAT9
Rugāju novada Eglaines pamatskola,69.35%,7,LAT9
Rugāju novada vidusskola,60.95%,10,LAT9
Rūjienas vidusskola,70.94%,34,LAT9
Rušonas pamatskola,56.91%,5,LAT9
Sabiles pamatskola,68.14%,12,LAT9
Sakstagala Jāņa Klīdzēja pamatskola,66.17%,12,LAT9
Salacgrīvas vidusskola,62.76%,28,LAT9
Salas pamatskola,71.36%,4,LAT9
Salas vidusskola,64.37%,21,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",67.20%,62,LAT9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",70.12%,11,LAT9
Saldus novada pašvaldības Cieceres internātpamatskola,59.98%,20,LAT9
Saldus novada pašvaldības Druvas vidusskola,72.27%,13,LAT9
Saldus novada pašvaldības Ezeres pamatskola,71.45%,10,LAT9
Saldus novada pašvaldības Jaunlutriņu pamatskola,65.85%,8,LAT9
Saldus novada pašvaldības Kursīšu pamatskola,71.93%,8,LAT9
Saldus novada pašvaldības Lutriņu pamatskola,69.48%,7,LAT9
Saldus novada pašvaldības Pampāļu pamatskola,60.97%,8,LAT9
Saldus novada pašvaldības Rubas pamatskola,70.33%,11,LAT9
Saldus novada pašvaldības Zirņu pamatskola,65.77%,10,LAT9
Saldus pamatskola,70.40%,23,LAT9
Saldus Vakara vidusskola,60.23%,2,LAT9
Saldus vidusskola,64.65%,59,LAT9
Salgales pamatskola,57.84%,4,LAT9
Salnavas pamatskola,72.27%,5,LAT9
Saulkrastu vidusskola,75.21%,28,LAT9
Seces pagasta pamatskola,71.94%,11,LAT9
Sējas pamatskola,66.12%,13,LAT9
Sesavas pamatskola,68.01%,8,LAT9
Siguldas 1. pamatskola,66.73%,30,LAT9
Siguldas pilsētas vidusskola,67.81%,42,LAT9
Siguldas Valsts ģimnāzija,78.89%,76,LAT9
Sikšņu pamatskola,47.42%,3,LAT9
Silenes pamatskola,62.27%,2,LAT9
Sīļukalna pamatskola,66.43%,7,LAT9
Skaistkalnes vidusskola,64.50%,11,LAT9
Skrundas vidusskola,62.29%,35,LAT9
Slokas pamatskola,56.63%,34,LAT9
Smārdes pamatskola,51.88%,7,LAT9
Smiltenes vidusskola,70.52%,67,LAT9
"Sociālās korekcijas izglītības iestāde ""Naukšēni""",56.82%,5,LAT9
Stacijas pamatskola,78.64%,10,LAT9
Stacijas pamatskolas Vīksnas filiāle (strukt.),70.45%,3,LAT9
Staiceles vidusskola,68.31%,7,LAT9
Stāķu pamatskola,63.43%,9,LAT9
Stalbes vidusskola,65.33%,11,LAT9
Staļģenes vidusskola,67.67%,22,LAT9
Stāmerienas pamatskola,63.51%,7,LAT9
Stelpes pamatskola,66.75%,7,LAT9
Stendes pamatskola,66.52%,6,LAT9
Straupes pamatskola,64.49%,8,LAT9
Strautiņu pamatskola,64.86%,13,LAT9
Strenču novada vidusskola,69.20%,8,LAT9
Struktūrvienība Brasas cietumā (strukt.),58.30%,4,LAT9
Sunākstes pamatskola,72.16%,4,LAT9
Suntažu internātpamatskola - rehabilitācijas centrs,48.45%,5,LAT9
Suntažu vidusskola,62.24%,15,LAT9
Sūnu pamatskola,58.41%,10,LAT9
Sventes vidusskola,42.91%,5,LAT9
Svētes pamatskola,63.02%,14,LAT9
Šķaunes pamatskola,64.09%,3,LAT9
Šķeltovas pamatskola,60.18%,5,LAT9
Šķibes pamatskola,57.08%,7,LAT9
Špoģu vidusskola,75.68%,16,LAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",75.72%,12,LAT9
Talsu 2. vidusskola,61.41%,63,LAT9
Talsu Kristīgā vidusskola,80.73%,15,LAT9
Talsu novada Vakara un neklātienes vidusskola,57.50%,10,LAT9
Talsu pamatskola,66.99%,26,LAT9
Talsu Valsts ģimnāzija,72.14%,37,LAT9
Tārgales pamatskola,68.85%,13,LAT9
Taurenes pamatskola,58.94%,6,LAT9
Taurupes pamatskola,59.68%,7,LAT9
Teteles pamatskola,65.23%,8,LAT9
Tilžas internātpamatskola,57.88%,6,LAT9
Tilžas vidusskola,58.54%,9,LAT9
Tīnūžu pamatskola,75.45%,5,LAT9
Tirzas pamatskola,62.34%,7,LAT9
Torņakalna Privātā vidusskola,80.91%,1,LAT9
Trikātas pamatskola,57.50%,6,LAT9
Tukuma 2. pamatskola,69.26%,37,LAT9
Tukuma 2. vidusskola,67.93%,48,LAT9
Tukuma 3. pamatskola,54.39%,6,LAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,59.29%,25,LAT9
Tukuma Raiņa ģimnāzija,76.62%,25,LAT9
Tukuma Vakara un neklātienes vidusskola,46.25%,12,LAT9
Tumes vidusskola,72.90%,13,LAT9
Turlavas pamatskola,56.32%,10,LAT9
Ugāles vidusskola,70.63%,29,LAT9
Ulbrokas vidusskola,67.60%,52,LAT9
Umurgas pamatskola,68.98%,8,LAT9
Upesleju internātpamatskola - rehabilitācijas centrs,62.52%,11,LAT9
Uzvaras vidusskola,70.43%,19,LAT9
Užavas pamatskola,51.02%,4,LAT9
V. Plūdoņa Kuldīgas ģimnāzija,67.57%,26,LAT9
Vaboles vidusskola,66.16%,11,LAT9
Vaiņodes internātpamatskola,59.70%,6,LAT9
Vaiņodes vidusskola,64.32%,24,LAT9
Vaivaru pamatskola,70.05%,9,LAT9
Valdemārpils vidusskola,61.77%,19,LAT9
Valkas Jāņa Cimzes ģimnāzija,61.17%,53,LAT9
Valmieras 2. vidusskola,50.32%,14,LAT9
Valmieras 5. vidusskola,65.58%,28,LAT9
Valmieras Pārgaujas ģimnāzija,68.05%,81,LAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),64.04%,9,LAT9
Valmieras Valsts ģimnāzija,70.70%,60,LAT9
Valmieras Viestura vidusskola,66.76%,55,LAT9
Vandzenes pamatskola,61.64%,10,LAT9
Vānes pamatskola,68.51%,7,LAT9
Vangažu vidusskola,68.41%,10,LAT9
Varakļānu vidusskola,69.91%,16,LAT9
Variņu pamatskola,73.23%,9,LAT9
Vārkavas vidusskola,70.27%,10,LAT9
Vārmes pamatskola,65.25%,11,LAT9
Vecpiebalgas vidusskola,61.15%,13,LAT9
Vecsaules pamatskola,64.29%,23,LAT9
Vecumnieku novada Domes Valles vidusskola,43.88%,13,LAT9
Vecumnieku vidusskola,66.14%,28,LAT9
Ventspils 1. pamatskola,58.65%,25,LAT9
Ventspils 2. pamatskola,68.06%,15,LAT9
Ventspils 4. vidusskola,66.65%,52,LAT9
Ventspils 6. vidusskola,68.15%,30,LAT9
Ventspils Pārventas pamatskola,63.95%,20,LAT9
Ventspils Valsts 1. ģimnāzija,74.97%,62,LAT9
Verēmu pamatskola,67.94%,13,LAT9
Vērgales pamatskola,75.14%,10,LAT9
Vestienas pamatskola,66.56%,7,LAT9
Vidrižu pamatskola,59.81%,7,LAT9
Viduču pamatskola,71.67%,6,LAT9
Viesītes vidusskola,68.60%,23,LAT9
Vijciema pamatskola,79.55%,2,LAT9
Vilces pamatskola,52.50%,8,LAT9
Vilgāles pamatskola,57.21%,7,LAT9
Viļakas Valsts ģimnāzija,76.66%,20,LAT9
Viļānu vidusskola,59.46%,27,LAT9
Vīpes pamatskola,66.82%,2,LAT9
Virbu pamatskola,77.27%,8,LAT9
Vircavas vidusskola,63.06%,22,LAT9
Virgas pamatskola,66.87%,9,LAT9
Z.A. Meierovica Kabiles pamatskola,60.20%,9,LAT9
Zaķumuižas pamatskola,58.41%,12,LAT9
Zaļenieku komerciālā un amatniecības vidusskola,62.09%,10,LAT9
Zasas vidusskola,70.10%,9,LAT9
Zaubes pamatskola,57.21%,7,LAT9
Zemgales vidusskola,58.56%,18,LAT9
Zemītes pamatskola,68.00%,10,LAT9
Ziemeļvalstu ģimnāzija,63.86%,60,LAT9
Ziemeru pamatskola,67.64%,5,LAT9
Zilupes vidusskola,54.49%,8,LAT9
Zūru pamatskola,61.26%,13,LAT9
Zvejniekciema vidusskola,66.30%,27,LAT9
Žīguru pamatskola,68.94%,6,LAT9
A. Spāģa Dunalkas pamatskola,62.16%,3,MAT9
Ābeļu pamatskola,33.78%,8,MAT9
Ādažu vidusskola,62.75%,74,MAT9
Āgenskalna Valsts ģimnāzija,82.44%,121,MAT9
Aglonas internātvidusskola,35.64%,8,MAT9
Aglonas Katoļu ģimnāzija,71.62%,1,MAT9
Aglonas vidusskola,65.72%,11,MAT9
Aizkraukles novada vidusskola,59.79%,83,MAT9
Aizkraukles Vakara (maiņu) vidusskola,27.43%,10,MAT9
Aizputes novada Neklātienes vidusskola,36.04%,3,MAT9
Aizputes pagasta pamatskola,52.83%,11,MAT9
Aizputes vidusskola,40.50%,31,MAT9
Aizupes pamatskola,47.97%,10,MAT9
Aknīstes vidusskola,44.44%,11,MAT9
Allažu pamatskola,31.08%,8,MAT9
Alojas Ausekļa vidusskola,34.46%,8,MAT9
Alsungas vidusskola,42.10%,13,MAT9
Alsviķu struktūrvienība (prof.) (strukt.),34.73%,10,MAT9
Alūksnes novada vidusskola,45.35%,25,MAT9
Amatas novada Skujenes pamatskola,48.26%,7,MAT9
Amatas pamatskola,60.14%,6,MAT9
Ances pamatskola,44.21%,7,MAT9
Andreja Eglīša Ļaudonas vidusskola,51.80%,12,MAT9
Andreja Pumpura Rīgas 11. pamatskola,42.94%,36,MAT9
Andreja Upīša Skrīveru vidusskola,53.62%,28,MAT9
Andrupenes pamatskola,56.89%,10,MAT9
Andzeļu pamatskola,44.74%,9,MAT9
Annas Brigaderes pamatskola,47.07%,6,MAT9
Annenieku pamatskola,23.31%,8,MAT9
Apriķu pamatskola,42.34%,3,MAT9
Asares pamatskola,21.62%,1,MAT9
Asūnes pamatskola,47.97%,4,MAT9
Ata Kronvalda Durbes pamatskola,49.21%,17,MAT9
Auces vidusskola,56.46%,27,MAT9
Augstkalnes vidusskola,60.06%,9,MAT9
Babītes vidusskola,56.24%,47,MAT9
Baldones Mūzikas pamatskola,68.61%,13,MAT9
Baldones vidusskola,53.24%,40,MAT9
Baložu vidusskola,39.64%,33,MAT9
Baltinavas vidusskola,51.47%,11,MAT9
Balvu pamatskola,60.81%,1,MAT9
Balvu profesionālā un vispārizglītojošā vidusskola (prof.),45.37%,28,MAT9
Balvu Valsts ģimnāzija,62.35%,51,MAT9
Barkavas pamatskola,61.78%,7,MAT9
Bārtas pamatskola,52.70%,3,MAT9
Baumaņu Kārļa Viļķenes pamatskola,59.46%,7,MAT9
Bauskas 2. vidusskola,53.68%,40,MAT9
Bauskas pilsētas pamatskola,54.81%,25,MAT9
Bauskas Valsts ģimnāzija,57.57%,50,MAT9
Bebrenes vispārizglītojošā un profesionālā vidusskola,62.16%,5,MAT9
Bebru pamatskola,40.96%,13,MAT9
Bejas pamatskola,46.06%,12,MAT9
Bēnes vidusskola,51.80%,18,MAT9
Berģu Mūzikas un mākslas pamatskola,60.64%,16,MAT9
Bērzaunes pamatskola,56.76%,9,MAT9
Bērzgales pamatskola (strukt.),46.62%,4,MAT9
Bērzpils vidusskola,50.23%,12,MAT9
Bikstu pamatskola,35.41%,5,MAT9
Biķernieku pamatskola,47.52%,6,MAT9
Bilskas pamatskola,60.36%,9,MAT9
Birzgales pamatskola,42.61%,17,MAT9
Biržu internātpamatskola,29.94%,13,MAT9
Biržu pamatskola,47.90%,9,MAT9
Blīdenes pamatskola,35.89%,14,MAT9
Blomes pamatskola,55.14%,10,MAT9
Brāļu Skrindu Atašienes vidusskola,51.35%,3,MAT9
Brocēnu vidusskola,40.92%,34,MAT9
Burtnieku Ausekļa pamatskola,54.55%,11,MAT9
Carnikavas pamatskola,57.43%,18,MAT9
Cēres pamatskola,42.43%,10,MAT9
Cēsu 1. pamatskola,59.38%,16,MAT9
Cēsu 2. pamatskola,63.55%,35,MAT9
Cēsu 2. vakara (maiņu) vidusskola,37.84%,2,MAT9
Cēsu internātpamatskola - attīstības centrs,59.01%,3,MAT9
Cēsu Pilsētas vidusskola,42.77%,23,MAT9
Cēsu Valsts ģimnāzija,77.33%,54,MAT9
Cesvaines vidusskola,48.82%,24,MAT9
Ciblas vidusskola,52.09%,11,MAT9
Codes pamatskola,40.24%,9,MAT9
Dagdas vidusskola,53.08%,43,MAT9
Daudzeses pamatskola,64.86%,7,MAT9
Daugavgrīvas cietums (strukt.),42.43%,10,MAT9
Daugavpils 10. vidusskola,57.67%,46,MAT9
Daugavpils 11. pamatskola,36.23%,26,MAT9
Daugavpils 12. vidusskola,50.86%,41,MAT9
Daugavpils 13. vidusskola,61.17%,38,MAT9
Daugavpils 15. vidusskola,56.71%,58,MAT9
Daugavpils 16. vidusskola,50.85%,46,MAT9
Daugavpils 17. vidusskola,52.43%,10,MAT9
Daugavpils 3. vidusskola,63.89%,78,MAT9
Daugavpils 9. vidusskola,60.32%,44,MAT9
Daugavpils Centra vidusskola,63.12%,34,MAT9
Daugavpils Krievu vidusskola - licejs,78.38%,70,MAT9
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,43.47%,6,MAT9
Daugavpils Saskaņas pamatskola,69.48%,36,MAT9
Daugavpils Valsts ģimnāzija,63.94%,48,MAT9
Daugavpils Vienības pamatskola,48.72%,19,MAT9
Daugmales pamatskola,51.65%,9,MAT9
Dāvja Ozoliņa Apes vidusskola,60.91%,13,MAT9
Degumnieku pamatskola,58.69%,7,MAT9
Dekšāru pamatskola,54.92%,14,MAT9
Dignājas pamatskola,39.86%,2,MAT9
Dobeles 1. vidusskola,36.29%,49,MAT9
Dobeles Amatniecības un vispārizglītojošā vidusskola (prof.),42.16%,10,MAT9
Dobeles Kristīgā pamatskola,26.93%,14,MAT9
Dobeles Valsts ģimnāzija,75.15%,59,MAT9
Drabešu Jaunā pamatskola,25.90%,6,MAT9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,55.68%,25,MAT9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,51.69%,96,MAT9
Dravnieku pamatskola,49.73%,10,MAT9
Dricānu vidusskola,41.48%,13,MAT9
Drustu pamatskola,54.05%,6,MAT9
Dunavas pamatskola,72.97%,1,MAT9
Dundagas vidusskola,38.95%,28,MAT9
Dzelzavas pamatskola,48.26%,14,MAT9
Dzērbenes vispārizglītojošā un mūzikas pamatskola,58.45%,4,MAT9
Dzērves pamatskola,42.12%,6,MAT9
Dzimtmisas pamatskola,26.69%,12,MAT9
Džūkstes pamatskola,47.79%,11,MAT9
Edgara Kauliņa Lielvārdes vidusskola,59.91%,36,MAT9
Ēdoles pamatskola,57.96%,9,MAT9
Eglaines pamatskola,59.01%,9,MAT9
Elejas vidusskola,55.82%,26,MAT9
Engures vidusskola,54.66%,20,MAT9
Ērgļu vidusskola,46.53%,21,MAT9
Ernsta Glika Alūksnes Valsts ģimnāzija,57.37%,62,MAT9
Ēveles pamatskola,38.96%,6,MAT9
Ezernieku vidusskola,50.00%,15,MAT9
Feimaņu pamatskola,61.39%,7,MAT9
"filiāle ""Laidzes pamatskola"" (strukt.)",52.97%,5,MAT9
Friča Brīvzemnieka pamatskola,38.04%,27,MAT9
Gaigalavas pamatskola,46.62%,6,MAT9
Gaiķu pamatskola,59.19%,5,MAT9
Galēnu pamatskola,43.99%,9,MAT9
Galgauskas pamatskola,54.05%,5,MAT9
Gardenes pamatskola,32.32%,12,MAT9
Garkalnes Mākslu un vispārizglītojošā pamatskola,68.80%,11,MAT9
Garlība Merķeļa Lēdurgas pamatskola,64.70%,8,MAT9
Garozas pamatskola,55.56%,9,MAT9
Gaujienas internātpamatskola,36.49%,2,MAT9
Gaviezes pamatskola,49.32%,4,MAT9
Gramzdas pamatskola,48.11%,5,MAT9
Griķu pamatskola,40.88%,16,MAT9
Grobiņas ģimnāzija,56.74%,64,MAT9
Grundzāles pamatskola,48.65%,6,MAT9
Gulbenes 2. vidusskola,48.08%,45,MAT9
Gulbenes novada valsts ģimnāzija,57.94%,41,MAT9
Gulbīša pamatskola,49.16%,8,MAT9
Iecavas internātpamatskola,50.00%,12,MAT9
Iecavas vidusskola,52.45%,64,MAT9
Ikšķiles vidusskola,57.33%,59,MAT9
Ilmāra Gaiša Kokneses vidusskola,51.22%,32,MAT9
Ilūkstes 1. vidusskola,56.64%,23,MAT9
Ilūkstes Sadraudzības vidusskola,50.34%,12,MAT9
Ilzenes pamatskola,38.18%,4,MAT9
Iļģuciema vidusskola,47.25%,27,MAT9
Inčukalna pamatskola,56.93%,16,MAT9
Indras pamatskola,58.72%,11,MAT9
Inešu pamatskola,78.38%,1,MAT9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",55.93%,13,MAT9
Irlavas vidusskola,39.70%,8,MAT9
Īslīces vidusskola,41.77%,22,MAT9
Izglītības programmu īstenošanas vieta Ērgļi (prof.) (strukt.),34.05%,5,MAT9
Izvaltas pamatskola,59.01%,6,MAT9
J. Čakstes Liepājas pilsētas 10. vidusskola,44.93%,64,MAT9
J. Endzelīna Kauguru pamatskola,48.10%,22,MAT9
J. Raiņa Daugavpils 6. vidusskola,50.38%,36,MAT9
J.G.Herdera Rīgas Grīziņkalna vidusskola,52.64%,44,MAT9
J.Pilsudska Daugavpils valsts poļu ģimnāzija,61.08%,15,MAT9
Jankas Kupalas Rīgas Baltkrievu pamatskola,69.59%,18,MAT9
Jāņa Eglīša Preiļu Valsts ģimnāzija,68.75%,16,MAT9
Jāņa Zālīša Sausnējas pamatskola,47.30%,2,MAT9
Jaunburtnieku pamatskola,30.47%,11,MAT9
Jaunjelgavas vidusskola,55.99%,23,MAT9
Jaunmārupes pamatskola,59.83%,22,MAT9
Jaunogres vidusskola,57.83%,49,MAT9
Jaunpiebalgas vidusskola,53.45%,27,MAT9
Jaunpils vidusskola,58.16%,24,MAT9
Jaunsilavas pamatskola,49.05%,10,MAT9
Jaunstrūžānu pamatskola,31.53%,3,MAT9
Jēkabpils 2. vidusskola,47.61%,43,MAT9
Jēkabpils 3. vidusskola,47.24%,45,MAT9
Jēkabpils vakara vidusskola,48.82%,8,MAT9
Jēkabpils Valsts ģimnāzija,56.60%,97,MAT9
Jelgavas 1.internātpamatskola - attīstības centrs,51.76%,10,MAT9
Jelgavas 2. pamatskola,50.24%,50,MAT9
Jelgavas 4. vidusskola,49.64%,87,MAT9
Jelgavas 5. vidusskola,64.07%,56,MAT9
Jelgavas 6. vidusskola,56.25%,48,MAT9
Jelgavas Amatu vidusskola (prof.),42.99%,16,MAT9
Jelgavas novada Neklātienes vidusskola,34.23%,6,MAT9
Jelgavas Spīdolas ģimnāzija,62.32%,84,MAT9
Jelgavas Tehnoloģiju vidusskola,42.30%,69,MAT9
Jelgavas Vakara (maiņu) vidusskola,22.97%,9,MAT9
Jelgavas Valsts ģimnāzija,64.29%,113,MAT9
Jersikas pamatskola,57.96%,9,MAT9
Jumpravas vidusskola,41.28%,11,MAT9
Jura Neikena Dikļu pamatskola,49.48%,13,MAT9
"Murjāņu sporta ģimnāzija, JŪRMALA (strukt.)",36.07%,13,MAT9
Jūrmalas Alternatīvā skola,85.04%,14,MAT9
Jūrmalas pilsētas Jaundubultu vidusskola,54.11%,25,MAT9
Jūrmalas pilsētas Kauguru vidusskola,55.21%,49,MAT9
Jūrmalas pilsētas Lielupes pamatskola,43.38%,10,MAT9
Jūrmalas pilsētas Mežmalas vidusskola,36.62%,20,MAT9
Jūrmalas vakara vidusskola,27.03%,10,MAT9
Jūrmalas Valsts ģimnāzija,65.85%,48,MAT9
Kalētu pamatskola,63.78%,5,MAT9
Kalnciema pagasta vidusskola,52.43%,5,MAT9
Kalnciema vidusskola,49.40%,18,MAT9
Kalsnavas pamatskola,32.31%,11,MAT9
Kalupes pamatskola,53.38%,8,MAT9
Kalvenes pamatskola,48.50%,9,MAT9
Kandavas internātvidusskola,43.81%,43,MAT9
Kandavas Kārļa Mīlenbaha vidusskola,64.36%,40,MAT9
Kandavas novada Zantes pamatskola,52.16%,10,MAT9
Kapsēdes pamatskola,44.76%,8,MAT9
Kārķu pamatskola,43.51%,5,MAT9
Kārsavas vidusskola,61.64%,26,MAT9
Kaunatas vidusskola,48.12%,23,MAT9
Kocēnu pamatskola,54.13%,17,MAT9
Kolkas pamatskola,54.73%,2,MAT9
Krāslavas gr. Plāteru v.n. Poļu pamatskola,45.41%,5,MAT9
Krāslavas pamatskola,55.10%,22,MAT9
Krāslavas Valsts ģimnāzija,65.46%,16,MAT9
Krāslavas Varavīksnes vidusskola,55.86%,39,MAT9
Krimuldas vidusskola,48.80%,18,MAT9
Kristiāna Dāvida pamatskola,35.59%,3,MAT9
Krišjāņa Valdemāra Ainažu pamatskola,48.42%,6,MAT9
Krotes Kronvalda Ata pamatskola,43.54%,9,MAT9
Kruķu pamatskola (strukt.),45.68%,5,MAT9
Krustpils pamatskola,44.11%,14,MAT9
Kuldīgas 2. vidusskola,43.82%,33,MAT9
Kuldīgas Centra vidusskola,60.34%,50,MAT9
Kuldīgas Mākslas un humanitāro zinību vidusskola,48.47%,23,MAT9
Kuldīgas pamatskola,50.08%,18,MAT9
Kusas pamatskola,29.73%,2,MAT9
Ķeguma komercnovirziena vidusskola,58.98%,17,MAT9
Ķeipenes pamatskola,58.60%,11,MAT9
Ķekavas vidusskola,61.39%,65,MAT9
Ķemeru pamatskola,49.86%,10,MAT9
Lāču pamatskola,53.60%,12,MAT9
Lādezera pamatskola,37.94%,13,MAT9
Laidu pamatskola,33.98%,7,MAT9
Lapmežciema pamatskola,58.45%,16,MAT9
Laucesas pamatskola,51.87%,13,MAT9
Laucienes pamatskola,56.76%,13,MAT9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola"" (strukt.)",50.23%,6,MAT9
Lazdonas pamatskola,42.34%,3,MAT9
Lēdmanes pamatskola,45.50%,9,MAT9
Lejasciema vidusskola,56.31%,12,MAT9
Lielvārdes pamatskola,40.11%,22,MAT9
Liepājas 3. pamatskola,44.15%,43,MAT9
Liepājas 7. vidusskola,68.86%,68,MAT9
Liepājas 8. vidusskola,58.48%,55,MAT9
Liepājas A. Puškina 2. vidusskola,61.99%,56,MAT9
Liepājas internātpamatskola,25.99%,13,MAT9
Liepājas Katoļu pamatskola,63.99%,17,MAT9
Liepājas pilsētas 12. vidusskola,53.92%,51,MAT9
Liepājas Raiņa 6. vidusskola,46.04%,72,MAT9
Liepājas vakara (maiņu) vidusskola,42.29%,9,MAT9
Liepājas Valsts 1. ģimnāzija,54.91%,90,MAT9
Liepas pamatskola,38.61%,14,MAT9
Liepnas internātpamatskola,28.83%,9,MAT9
Liepnas vidusskola,46.26%,13,MAT9
Liepu pamatskola (strukt.),32.43%,9,MAT9
Liepupes vidusskola,48.74%,15,MAT9
Liezēres pamatskola,37.16%,4,MAT9
Līgatnes novada vidusskola,30.69%,14,MAT9
Limbažu 3. vidusskola,47.70%,20,MAT9
Limbažu novada ģimnāzija,58.95%,58,MAT9
Līvānu 1. vidusskola,64.90%,40,MAT9
Līvānu 2. vidusskola,56.22%,15,MAT9
Līvānu novada Vakara (maiņu) vidusskola,40.54%,3,MAT9
Līvbērzes pamatskola,42.86%,7,MAT9
Lizuma vidusskola,56.83%,19,MAT9
Lubānas vidusskola,43.44%,14,MAT9
Lūcijas Rancānes Makašānu Amatu vidusskola,36.00%,11,MAT9
Ludzas 2. vidusskola,58.18%,36,MAT9
Ludzas novada vakara vidusskola,34.86%,5,MAT9
Ludzas pilsētas ģimnāzija,53.93%,54,MAT9
Madlienas vidusskola,44.96%,11,MAT9
Madonas pilsētas vidusskola,48.19%,65,MAT9
Madonas Vakara un neklātienes vidusskola,20.72%,3,MAT9
Madonas Valsts ģimnāzija,74.90%,28,MAT9
Majoru vidusskola,59.37%,31,MAT9
Malienas pamatskola,45.58%,11,MAT9
Mālpils internātpamatskola,42.40%,8,MAT9
Mālpils novada vidusskola,54.76%,25,MAT9
Maltas vidusskola,48.69%,34,MAT9
Mārsnēnu pamatskola,46.85%,3,MAT9
Mārupes pamatskola,48.54%,13,MAT9
Mārupes vidusskola,60.85%,100,MAT9
Māteru Jura Kazdangas pamatskola,40.43%,12,MAT9
Matīšu pamatskola,50.54%,10,MAT9
Mazozolu filiāle (strukt.),60.81%,6,MAT9
Mazsalacas vidusskola,47.73%,28,MAT9
Mazzalves pamatskola,38.36%,13,MAT9
Medumu pamatskola,68.53%,7,MAT9
Meirānu Kalpaka pamatskola,48.65%,2,MAT9
Meņģeles filiāle (strukt.),45.95%,1,MAT9
Mērdzenes pamatskola,47.43%,10,MAT9
Mērsraga vidusskola,49.86%,10,MAT9
Mētrienas pamatskola,59.46%,8,MAT9
Mežāres pamatskola,60.81%,5,MAT9
Mežciema pamatskola,56.68%,37,MAT9
Mežgaļu pamatskola,65.54%,10,MAT9
Mežinieku pamatskola,46.73%,12,MAT9
Mežotnes pamatskola,52.95%,11,MAT9
Mežvidu pamatskola,58.11%,6,MAT9
Misas vidusskola,31.49%,10,MAT9
Mores pamatskola,37.03%,5,MAT9
Murjāņu sporta ģimnāzija,52.41%,23,MAT9
Murmastienes pamatskola,48.65%,6,MAT9
Naujenes pamatskola,48.09%,12,MAT9
Naukšēnu novada vidusskola,42.04%,18,MAT9
Nautrēnu vidusskola,50.09%,15,MAT9
Neretas Jāņa Jaunsudrabiņa vidusskola,61.58%,14,MAT9
Nīcas vidusskola,63.14%,11,MAT9
Nīgrandes pagasta Kalnu vidusskola,52.31%,17,MAT9
Nīkrāces pamatskola,34.36%,7,MAT9
Nirzas pamatskola,59.68%,6,MAT9
Nītaures vidusskola,55.21%,7,MAT9
O.Kalpaka Rīgas Tautas daiļamatu pamatskola,47.97%,40,MAT9
Ogres 1. vidusskola,54.34%,90,MAT9
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA (strukt.),27.03%,8,MAT9
Ogres Valsts ģimnāzija,58.93%,72,MAT9
Ogresgala pamatskola,40.99%,12,MAT9
Ojāra Vācieša Gaujienas pamatskola,49.61%,7,MAT9
Olaines 1. vidusskola,52.56%,68,MAT9
Olaines 2. vidusskola,50.31%,70,MAT9
Oskara Kalpaka Liepājas 15. vidusskola,41.02%,65,MAT9
Ozolmuižas pamatskola,42.43%,5,MAT9
Ozolnieku vidusskola,61.17%,34,MAT9
Pāles pamatskola,50.31%,13,MAT9
Palsmanes pamatskola,53.09%,7,MAT9
"Pamatskola ""Rīdze""",63.75%,40,MAT9
Pastendes pamatskola,41.48%,13,MAT9
Pāvilostas vidusskola,51.65%,9,MAT9
Pededzes pamatskola,62.16%,9,MAT9
Pelēču pamatskola,58.92%,5,MAT9
Penkules pamatskola,36.49%,7,MAT9
Pilsrundāles vidusskola,52.36%,20,MAT9
Piltenes vidusskola,40.79%,11,MAT9
Pļaviņu novada ģimnāzija,45.29%,39,MAT9
Popes pamatskola,48.65%,6,MAT9
Praulienas pamatskola,73.65%,4,MAT9
Preiļu 1. pamatskola,43.66%,36,MAT9
Preiļu 2. vidusskola,52.36%,12,MAT9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,59.46%,1,MAT9
Priekules vidusskola,36.25%,29,MAT9
Priekuļu vidusskola,48.16%,33,MAT9
Priežmalas pamatskola,27.03%,1,MAT9
"Privātā pamatskola ""Gaismas tilts 97""",74.20%,11,MAT9
"Privātā pamatskola ""Maksima""",65.44%,7,MAT9
Privātā Rīgas Tehnolingvistiskā ģimnāzija,60.81%,2,MAT9
