Novada kods,Skola,Skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
1,Aglonas vidusskola,131403,ANG12,74.77%,10
1,Aglonas vidusskola,131403,LAT12,59.79%,13
1,Aglonas vidusskola,131403,MAT12,54.66%,13
1,Aglonas internātvidusskola,181401,ANG12,61.37%,2
1,Aglonas internātvidusskola,181401,LAT12,34.88%,5
1,Aglonas internātvidusskola,181401,MAT12,32.00%,5
2,Aizkraukles 1. vidusskola,233301,ANG12,61.54%,7
2,Aizkraukles 1. vidusskola,233301,LAT12,62.17%,7
2,Aizkraukles 1. vidusskola,233301,MAT12,31.78%,7
2,Aizkraukles Vakara (maiņu) vidusskola,241306,ANG12,57.94%,7
2,Aizkraukles Vakara (maiņu) vidusskola,241306,LAT12,45.39%,18
2,Aizkraukles Vakara (maiņu) vidusskola,241306,MAT12,26.64%,19
2,Aizkraukles novada ģimnāzija,251303,ANG12,75.31%,36
2,Aizkraukles novada ģimnāzija,251303,LAT12,63.78%,42
2,Aizkraukles novada ģimnāzija,251303,MAT12,42.53%,42
2,Aizkraukles Profesionālā vidusskola,271309,ANG12,36.27%,29
2,Aizkraukles Profesionālā vidusskola,271309,LAT12,31.81%,48
2,Aizkraukles Profesionālā vidusskola,271309,MAT12,15.10%,48
3,Aizputes vidusskola,331306,ANG12,68.24%,22
3,Aizputes vidusskola,331306,LAT12,57.92%,22
3,Aizputes vidusskola,331306,MAT12,49.00%,22
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,ANG12,49.65%,8
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,LAT12,42.18%,8
3,Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,MAT12,9.31%,10
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,ANG12,47.49%,8
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,LAT12,39.20%,10
3,Aizputes novada Neklātienes vidusskolas Grobiņas konsult. punkts,341314,MAT12,16.38%,10
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,ANG12,28.43%,15
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,LAT12,29.05%,31
3,Aizputes novada Neklātienes vidusskolas Cīravas konsult. punkts,341403,MAT12,7.06%,31
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,ANG12,50.83%,2
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,LAT12,15.91%,2
3,Aizputes novada Neklātienes vidusskolas Nīcas konsultpunkts,341404,MAT12,16.88%,2
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,ANG12,26.07%,21
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,LAT12,32.13%,29
3,Kandavas Lauksaimniecības tehnikums Cīravas teriotoriālā struktūrvienība,371408,MAT12,21.44%,33
4,Aknīstes vidusskola,431301,ANG12,62.10%,9
4,Aknīstes vidusskola,431301,LAT12,62.34%,15
4,Aknīstes vidusskola,431301,MAT12,33.37%,15
5,Alojas Ausekļa vidusskola,531301,ANG12,76.45%,7
5,Alojas Ausekļa vidusskola,531301,LAT12,67.77%,7
5,Alojas Ausekļa vidusskola,531301,MAT12,35.98%,7
5,Staiceles vidusskola,531304,ANG12,50.88%,5
5,Staiceles vidusskola,531304,LAT12,40.45%,5
5,Staiceles vidusskola,531304,MAT12,19.75%,5
6,Alsungas vidusskola,631301,ANG12,52.20%,8
6,Alsungas vidusskola,631301,LAT12,69.24%,8
6,Alsungas vidusskola,631301,MAT12,44.30%,8
7,Alūksnes novada vidusskola,731323,ANG12,50.26%,20
7,Alūksnes novada vidusskola,731323,LAT12,43.03%,31
7,Alūksnes novada vidusskola,731323,MAT12,21.61%,31
7,Liepnas vidusskola,731413,ANG12,21.33%,2
7,Liepnas vidusskola,731413,LAT12,41.25%,5
7,Liepnas vidusskola,731413,MAT12,9.50%,5
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,ANG12,70.85%,49
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,LAT12,61.54%,57
7,Ernsta Glika Alūksnes Valsts ģimnāzija,761309,MAT12,43.89%,57
8,Nītaures vidusskola,831405,ANG12,56.96%,2
8,Nītaures vidusskola,831405,LAT12,65.15%,3
8,Nītaures vidusskola,831405,MAT12,42.08%,3
9,Dāvja Ozoliņa Apes vidusskola,931301,ANG12,63.74%,8
9,Dāvja Ozoliņa Apes vidusskola,931301,LAT12,52.10%,10
9,Dāvja Ozoliņa Apes vidusskola,931301,MAT12,20.13%,10
9,Ojāra Vācieša Gaujienas vidusskola,931403,ANG12,49.78%,9
9,Ojāra Vācieša Gaujienas vidusskola,931403,LAT12,53.46%,10
9,Ojāra Vācieša Gaujienas vidusskola,931403,MAT12,30.81%,10
10,Auces vidusskola,1031301,ANG12,63.39%,25
10,Auces vidusskola,1031301,LAT12,50.94%,30
10,Auces vidusskola,1031301,MAT12,39.81%,30
10,Bēnes vidusskola,1031402,ANG12,60.14%,10
10,Bēnes vidusskola,1031402,LAT12,57.12%,11
10,Bēnes vidusskola,1031402,MAT12,26.87%,11
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,ANG12,71.69%,10
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,LAT12,65.62%,10
11,Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,MAT12,39.06%,10
11,Ādažu vidusskola,1133301,ANG12,75.60%,29
11,Ādažu vidusskola,1133301,LAT12,60.51%,30
11,Ādažu vidusskola,1133301,MAT12,45.46%,30
12,Babītes vidusskola,1231402,ANG12,74.22%,19
12,Babītes vidusskola,1231402,LAT12,61.84%,19
12,Babītes vidusskola,1231402,MAT12,50.39%,19
13,Baldones vidusskola,1331302,ANG12,82.89%,19
13,Baldones vidusskola,1331302,LAT12,66.93%,21
13,Baldones vidusskola,1331302,MAT12,52.70%,22
14,Baltinavas vidusskola,1431302,ANG12,78.25%,5
14,Baltinavas vidusskola,1431302,LAT12,50.49%,8
14,Baltinavas vidusskola,1431302,MAT12,42.81%,8
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,ANG12,48.90%,27
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,LAT12,44.38%,36
15,Balvu profesionālā un vispārizglītojošā vidusskola,1531302,MAT12,28.50%,37
15,Bērzpils vidusskola,1531407,ANG12,72.34%,9
15,Bērzpils vidusskola,1531407,LAT12,54.77%,10
15,Bērzpils vidusskola,1531407,MAT12,48.50%,10
15,Tilžas vidusskola,1531415,ANG12,52.66%,8
15,Tilžas vidusskola,1531415,LAT12,63.35%,8
15,Tilžas vidusskola,1531415,MAT12,36.25%,8
15,Balvu Valsts ģimnāzija,1561305,ANG12,68.88%,37
15,Balvu Valsts ģimnāzija,1561305,LAT12,67.49%,37
15,Balvu Valsts ģimnāzija,1561305,MAT12,45.03%,37
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,ANG12,41.44%,6
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,LAT12,47.15%,4
15,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Balvu teritoriālā struktūrvienība,1571312,MAT12,21.88%,4
16,Bauskas 2. vidusskola,1631302,ANG12,65.37%,19
16,Bauskas 2. vidusskola,1631302,LAT12,46.22%,33
16,Bauskas 2. vidusskola,1631302,MAT12,46.32%,33
16,Īslīces vidusskola,1631411,ANG12,62.90%,6
16,Īslīces vidusskola,1631411,LAT12,60.22%,8
16,Īslīces vidusskola,1631411,MAT12,44.30%,8
16,Uzvaras vidusskola,1631419,ANG12,74.75%,8
16,Uzvaras vidusskola,1631419,LAT12,64.64%,9
16,Uzvaras vidusskola,1631419,MAT12,49.17%,9
16,Bauskas Valsts ģimnāzija,1661301,ANG12,75.48%,46
16,Bauskas Valsts ģimnāzija,1661301,LAT12,66.67%,48
16,Bauskas Valsts ģimnāzija,1661301,MAT12,49.92%,48
16,Mežotnes internātvidusskola,1681414,ANG12,26.92%,2
16,Mežotnes internātvidusskola,1681414,LAT12,36.74%,3
16,Mežotnes internātvidusskola,1681414,MAT12,7.08%,3
18,Brocēnu vidusskola,1831302,ANG12,58.34%,29
18,Brocēnu vidusskola,1831302,LAT12,61.05%,29
18,Brocēnu vidusskola,1831302,MAT12,30.93%,29
21,Cesvaines vidusskola,2131302,ANG12,67.62%,14
21,Cesvaines vidusskola,2131302,LAT12,62.05%,14
21,Cesvaines vidusskola,2131302,MAT12,51.71%,15
22,Cēsu Pilsētas vidusskola,2231306,ANG12,56.87%,32
22,Cēsu Pilsētas vidusskola,2231306,LAT12,48.61%,37
22,Cēsu Pilsētas vidusskola,2231306,MAT12,16.43%,35
22,Cēsu Valsts ģimnāzija,2261313,ANG12,76.30%,63
22,Cēsu Valsts ģimnāzija,2261313,LAT12,68.23%,68
22,Cēsu Valsts ģimnāzija,2261313,MAT12,56.52%,68
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,ANG12,76.50%,58
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,LAT12,67.50%,59
22,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,MAT12,44.13%,59
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,ANG12,56.94%,8
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,LAT12,49.50%,8
22,Alfrēda Kalniņa Cēsu Mūzikas vidusskola,2271302,MAT12,16.41%,8
22,Cēsu Profesionālā vidusskola,2271311,ANG12,42.54%,47
22,Cēsu Profesionālā vidusskola,2271311,LAT12,34.10%,46
22,Cēsu Profesionālā vidusskola,2271311,MAT12,17.11%,46
23,Ciblas vidusskola,2331402,ANG12,51.86%,7
23,Ciblas vidusskola,2331402,LAT12,68.55%,9
23,Ciblas vidusskola,2331402,MAT12,41.04%,9
24,Dagdas vidusskola,2431306,ANG12,68.98%,12
24,Dagdas vidusskola,2431306,LAT12,47.79%,41
24,Dagdas vidusskola,2431306,MAT12,36.22%,41
24,Ezernieku vidusskola,2431407,ANG12,58.71%,2
24,Ezernieku vidusskola,2431407,LAT12,60.08%,8
24,Ezernieku vidusskola,2431407,MAT12,47.66%,8
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,ANG12,20.43%,17
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,LAT12,25.03%,17
24,Daugavpils Būvniecības tehnikums IPĪV Dagda,2471305,MAT12,14.01%,17
25,Sventes vidusskola,2531415,ANG12,50.41%,17
25,Sventes vidusskola,2531415,LAT12,29.89%,45
25,Sventes vidusskola,2531415,MAT12,47.72%,45
25,Vaboles vidusskola,2531418,ANG12,34.02%,7
25,Vaboles vidusskola,2531418,LAT12,57.30%,7
25,Vaboles vidusskola,2531418,MAT12,64.64%,7
25,Zemgales vidusskola,2532420,ANG12,45.50%,10
25,Zemgales vidusskola,2532420,LAT12,21.08%,10
25,Zemgales vidusskola,2532420,MAT12,40.13%,10
25,Salienas vidusskola,2533412,ANG12,49.90%,5
25,Salienas vidusskola,2533412,LAT12,37.92%,8
25,Salienas vidusskola,2533412,MAT12,59.22%,8
25,Špoģu vidusskola,2533416,ANG12,57.96%,10
25,Špoģu vidusskola,2533416,LAT12,48.62%,21
25,Špoģu vidusskola,2533416,MAT12,43.15%,21
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,ANG12,49.68%,15
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,LAT12,37.76%,15
25,Malnavas koledžas Izglītības programmu īstenošanas vieta Višķi,2571419,MAT12,47.04%,15
26,Daugavpils 12. vidusskola,2631205,ANG12,51.82%,39
26,Daugavpils 12. vidusskola,2631205,LAT12,47.58%,51
26,Daugavpils 12. vidusskola,2631205,MAT12,37.85%,51
26,Daugavpils 10. vidusskola,2632203,ANG12,53.58%,40
26,Daugavpils 10. vidusskola,2632203,LAT12,38.51%,41
26,Daugavpils 10. vidusskola,2632203,MAT12,46.40%,40
26,Daugavpils 15. vidusskola,2632207,ANG12,62.11%,25
26,Daugavpils 15. vidusskola,2632207,LAT12,55.43%,25
26,Daugavpils 15. vidusskola,2632207,MAT12,49.45%,25
26,Daugavpils 3. vidusskola,2632210,ANG12,72.90%,45
26,Daugavpils 3. vidusskola,2632210,LAT12,57.96%,45
26,Daugavpils 3. vidusskola,2632210,MAT12,73.55%,45
26,J. Raiņa Daugavpils 6. vidusskola,2632228,ANG12,46.87%,20
26,J. Raiņa Daugavpils 6. vidusskola,2632228,LAT12,42.50%,20
26,J. Raiņa Daugavpils 6. vidusskola,2632228,MAT12,42.84%,20
26,Daugavpils Centra vidusskola,2632290,ANG12,55.05%,24
26,Daugavpils Centra vidusskola,2632290,LAT12,49.95%,24
26,Daugavpils Centra vidusskola,2632290,MAT12,47.16%,24
26,Daugavpils 13. vidusskola,2633206,ANG12,63.27%,18
26,Daugavpils 13. vidusskola,2633206,LAT12,38.82%,18
26,Daugavpils 13. vidusskola,2633206,MAT12,47.15%,18
26,Daugavpils 16. vidusskola,2633208,ANG12,53.05%,25
26,Daugavpils 16. vidusskola,2633208,LAT12,46.63%,25
26,Daugavpils 16. vidusskola,2633208,MAT12,42.40%,25
26,Daugavpils 17. vidusskola,2633209,ANG12,41.04%,35
26,Daugavpils 17. vidusskola,2633209,LAT12,28.96%,42
26,Daugavpils 17. vidusskola,2633209,MAT12,29.26%,42
26,Daugavpils 9. vidusskola,2633215,ANG12,67.79%,16
26,Daugavpils 9. vidusskola,2633215,LAT12,48.97%,16
26,Daugavpils 9. vidusskola,2633215,MAT12,56.64%,16
26,Daugavpils Krievu vidusskola - licejs,2652217,ANG12,80.87%,43
26,Daugavpils Krievu vidusskola - licejs,2652217,LAT12,71.82%,44
26,Daugavpils Krievu vidusskola - licejs,2652217,MAT12,80.03%,44
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,ANG12,61.97%,16
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,LAT12,55.78%,16
26,J.Pilsudska Daugavpils valsts poļu ģimnāzija,2654229,MAT12,58.04%,16
26,Daugavpils Valsts ģimnāzija,2661226,ANG12,66.04%,56
26,Daugavpils Valsts ģimnāzija,2661226,LAT12,65.74%,60
26,Daugavpils Valsts ģimnāzija,2661226,MAT12,59.89%,60
26,Daugavpils Būvniecības tehnikums,2671216,ANG12,30.65%,42
26,Daugavpils Būvniecības tehnikums,2671216,LAT12,25.86%,46
26,Daugavpils Būvniecības tehnikums,2671216,MAT12,25.01%,44
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,ANG12,49.87%,17
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,LAT12,52.77%,17
26,"Daugavpils Dizaina un mākslas vidusskola ""Saules skola""",2671219,MAT12,31.91%,17
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,ANG12,48.41%,12
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,LAT12,45.36%,13
26,Staņislava Broka Daugavpils Mūzikas vidusskola,2671221,MAT12,30.86%,13
26,Daugavpils tehnikums,2671231,ANG12,35.78%,194
26,Daugavpils tehnikums,2671231,LAT12,27.50%,181
26,Daugavpils tehnikums,2671231,MAT12,21.72%,182
26,Daugavpils Universitāte,2691228,ANG12,48.65%,7
26,Daugavpils Universitāte,2691228,LAT12,14.77%,1
27,Dobeles 1. vidusskola,2731307,ANG12,57.99%,12
27,Dobeles 1. vidusskola,2731307,LAT12,44.99%,16
27,Dobeles 1. vidusskola,2731307,MAT12,24.69%,16
27,Dobeles Valsts ģimnāzija,2761312,ANG12,78.90%,54
27,Dobeles Valsts ģimnāzija,2761312,LAT12,67.97%,58
27,Dobeles Valsts ģimnāzija,2761312,MAT12,58.52%,58
27,Dobeles Amatniecības un vispārizglītojošā vidusskola,2771322,ANG12,39.59%,49
27,Dobeles Amatniecības un vispārizglītojošā vidusskola,2771322,LAT12,36.18%,53
27,Dobeles Amatniecības un vispārizglītojošā vidusskola,2771322,MAT12,11.06%,53
28,Dundagas vidusskola,2831401,ANG12,66.22%,22
28,Dundagas vidusskola,2831401,LAT12,65.16%,22
28,Dundagas vidusskola,2831401,MAT12,35.45%,22
30,Engures vidusskola,3031401,ANG12,47.60%,10
30,Engures vidusskola,3031401,LAT12,61.81%,10
30,Engures vidusskola,3031401,MAT12,37.75%,10
31,Ērgļu vidusskola,3131402,ANG12,65.12%,16
31,Ērgļu vidusskola,3131402,LAT12,68.57%,16
31,Ērgļu vidusskola,3131402,MAT12,36.80%,16
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,ANG12,35.69%,3
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,LAT12,38.29%,5
31,"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,MAT12,17.12%,5
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,ANG12,66.37%,6
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,LAT12,44.88%,10
32,Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,MAT12,23.30%,11
33,Grobiņas ģimnāzija,3351303,ANG12,72.93%,22
33,Grobiņas ģimnāzija,3351303,LAT12,63.06%,24
33,Grobiņas ģimnāzija,3351303,MAT12,46.51%,24
34,Gulbenes 2. vidusskola,3431304,ANG12,65.39%,17
34,Gulbenes 2. vidusskola,3431304,LAT12,62.76%,17
34,Gulbenes 2. vidusskola,3431304,MAT12,40.59%,17
34,Gulbenes vidusskola,3431309,ANG12,61.87%,13
34,Gulbenes vidusskola,3431309,LAT12,66.31%,14
34,Gulbenes vidusskola,3431309,MAT12,39.78%,14
34,Lejasciema vidusskola,3431413,ANG12,67.98%,9
34,Lejasciema vidusskola,3431413,LAT12,51.87%,10
34,Lejasciema vidusskola,3431413,MAT12,32.69%,10
34,Lizuma vidusskola,3431415,ANG12,52.24%,8
34,Lizuma vidusskola,3431415,LAT12,52.20%,9
34,Lizuma vidusskola,3431415,MAT12,15.48%,9
34,Gulbenes Vakara (maiņu) vidusskola,3441307,ANG12,55.71%,7
34,Gulbenes Vakara (maiņu) vidusskola,3441307,LAT12,40.69%,13
34,Gulbenes Vakara (maiņu) vidusskola,3441307,MAT12,29.81%,13
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,ANG12,44.39%,11
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,LAT12,35.07%,11
34,Gulbenes vakara (maiņu) vidusskolas Rankas konsult. punkts,3441408,MAT12,18.58%,11
34,Gulbenes novada valsts ģimnāzija,3461306,ANG12,71.61%,31
34,Gulbenes novada valsts ģimnāzija,3461306,LAT12,65.94%,33
34,Gulbenes novada valsts ģimnāzija,3461306,MAT12,50.13%,33
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,ANG12,36.27%,7
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,LAT12,40.11%,10
34,Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,MAT12,17.10%,11
35,Iecavas vidusskola,3531303,ANG12,69.75%,34
35,Iecavas vidusskola,3531303,LAT12,57.66%,37
35,Iecavas vidusskola,3531303,MAT12,39.46%,37
36,Ikšķiles vidusskola,3631301,ANG12,80.07%,16
36,Ikšķiles vidusskola,3631301,LAT12,69.08%,17
36,Ikšķiles vidusskola,3631301,MAT12,46.40%,17
36,Ogres tehnikums,3671421,ANG12,48.47%,189
36,Ogres tehnikums,3671421,LAT12,42.03%,187
36,Ogres tehnikums,3671421,MAT12,17.77%,187
37,Ilūkstes 1. vidusskola,3731304,ANG12,71.69%,12
37,Ilūkstes 1. vidusskola,3731304,LAT12,58.82%,17
37,Ilūkstes 1. vidusskola,3731304,MAT12,54.34%,17
37,Ilūkstes Sadraudzības vidusskola,3733307,ANG12,32.16%,21
37,Ilūkstes Sadraudzības vidusskola,3733307,LAT12,25.99%,25
37,Ilūkstes Sadraudzības vidusskola,3733307,MAT12,25.75%,25
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,ANG12,56.77%,7
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,LAT12,51.48%,13
37,Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,MAT12,42.35%,13
39,Jaunjelgavas vidusskola,3931302,ANG12,71.74%,8
39,Jaunjelgavas vidusskola,3931302,LAT12,68.67%,8
39,Jaunjelgavas vidusskola,3931302,MAT12,47.50%,8
40,Jaunpiebalgas vidusskola,4031401,ANG12,46.32%,12
40,Jaunpiebalgas vidusskola,4031401,LAT12,52.27%,13
40,Jaunpiebalgas vidusskola,4031401,MAT12,26.83%,13
41,Jaunpils vidusskola,4131401,ANG12,62.90%,12
41,Jaunpils vidusskola,4131401,LAT12,45.21%,12
41,Jaunpils vidusskola,4131401,MAT12,31.51%,12
42,Kalnciema pagasta vidusskola,4231309,ANG12,45.83%,4
42,Kalnciema pagasta vidusskola,4231309,LAT12,41.57%,6
42,Kalnciema pagasta vidusskola,4231309,MAT12,37.81%,6
42,Elejas vidusskola,4231402,ANG12,64.71%,10
42,Elejas vidusskola,4231402,LAT12,50.03%,15
42,Elejas vidusskola,4231402,MAT12,24.21%,15
42,Kalnciema vidusskola,4231410,ANG12,63.63%,4
42,Kalnciema vidusskola,4231410,LAT12,47.80%,7
42,Kalnciema vidusskola,4231410,MAT12,22.94%,7
42,Līvbērzes vidusskola,4231414,LAT12,60.65%,4
42,Līvbērzes vidusskola,4231414,MAT12,23.44%,4
42,Staļģenes vidusskola,4231418,ANG12,30.05%,3
42,Staļģenes vidusskola,4231418,LAT12,28.29%,10
42,Staļģenes vidusskola,4231418,MAT12,10.88%,10
42,Vircavas vidusskola,4231422,ANG12,42.43%,5
42,Vircavas vidusskola,4231422,LAT12,47.61%,5
42,Vircavas vidusskola,4231422,MAT12,23.62%,5
42,Jelgavas novada Neklātienes vidusskola,4241213,ANG12,53.45%,23
42,Jelgavas novada Neklātienes vidusskola,4241213,LAT12,38.26%,38
42,Jelgavas novada Neklātienes vidusskola,4241213,MAT12,13.32%,41
42,Zaļenieku komerciālā un amatniecības vidusskola,4271424,ANG12,35.88%,14
42,Zaļenieku komerciālā un amatniecības vidusskola,4271424,LAT12,30.75%,16
42,Zaļenieku komerciālā un amatniecības vidusskola,4271424,MAT12,9.65%,18
43,Jelgavas Tehnoloģiju vidusskola,4331201,ANG12,65.02%,29
43,Jelgavas Tehnoloģiju vidusskola,4331201,LAT12,60.60%,35
43,Jelgavas Tehnoloģiju vidusskola,4331201,MAT12,30.59%,34
43,Jelgavas 4. vidusskola,4331207,ANG12,67.01%,34
43,Jelgavas 4. vidusskola,4331207,LAT12,61.64%,37
43,Jelgavas 4. vidusskola,4331207,MAT12,37.31%,37
43,Jelgavas 5. vidusskola,4333208,ANG12,63.08%,26
43,Jelgavas 5. vidusskola,4333208,LAT12,50.72%,26
43,Jelgavas 5. vidusskola,4333208,MAT12,61.30%,26
43,Jelgavas 6. vidusskola,4333209,ANG12,60.61%,22
43,Jelgavas 6. vidusskola,4333209,LAT12,45.68%,22
43,Jelgavas 6. vidusskola,4333209,MAT12,41.45%,22
43,Jelgavas Vakara (maiņu) vidusskola,4341217,ANG12,57.94%,12
43,Jelgavas Vakara (maiņu) vidusskola,4341217,LAT12,36.53%,30
43,Jelgavas Vakara (maiņu) vidusskola,4341217,MAT12,21.67%,30
43,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,LAT12,31.46%,8
43,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,MAT12,20.36%,7
43,Jelgavas Spīdolas ģimnāzija,4351216,ANG12,78.56%,54
43,Jelgavas Spīdolas ģimnāzija,4351216,LAT12,67.50%,63
43,Jelgavas Spīdolas ģimnāzija,4351216,MAT12,49.87%,63
43,Jelgavas Valsts ģimnāzija,4361218,ANG12,74.67%,101
43,Jelgavas Valsts ģimnāzija,4361218,LAT12,64.09%,109
43,Jelgavas Valsts ģimnāzija,4361218,MAT12,44.83%,109
43,Jelgavas Amatu vidusskola,4371211,ANG12,40.19%,44
43,Jelgavas Amatu vidusskola,4371211,LAT12,32.25%,43
43,Jelgavas Amatu vidusskola,4371211,MAT12,11.55%,41
43,Jelgavas Mūzikas vidusskola,4371212,ANG12,49.32%,16
43,Jelgavas Mūzikas vidusskola,4371212,LAT12,51.62%,15
43,Jelgavas Mūzikas vidusskola,4371212,MAT12,23.25%,15
43,Jelgavas Tehnikums,4371222,ANG12,43.56%,114
43,Jelgavas Tehnikums,4371222,LAT12,34.42%,124
43,Jelgavas Tehnikums,4371222,MAT12,13.72%,130
44,Zasas vidusskola,4431409,ANG12,54.73%,4
44,Zasas vidusskola,4431409,LAT12,66.57%,6
44,Zasas vidusskola,4431409,MAT12,40.10%,6
45,Jēkabpils 3. vidusskola,4531202,ANG12,58.64%,27
45,Jēkabpils 3. vidusskola,4531202,LAT12,57.51%,37
45,Jēkabpils 3. vidusskola,4531202,MAT12,28.97%,37
45,Jēkabpils 2. vidusskola,4532201,ANG12,51.88%,29
45,Jēkabpils 2. vidusskola,4532201,LAT12,50.41%,29
45,Jēkabpils 2. vidusskola,4532201,MAT12,47.15%,29
45,Jēkabpils vakara vidusskola,4543206,ANG12,58.39%,11
45,Jēkabpils vakara vidusskola,4543206,LAT12,45.48%,18
45,Jēkabpils vakara vidusskola,4543206,MAT12,18.72%,21
45,Jēkabpils Valsts ģimnāzija,4561207,ANG12,68.70%,60
45,Jēkabpils Valsts ģimnāzija,4561207,LAT12,70.21%,67
45,Jēkabpils Valsts ģimnāzija,4561207,MAT12,44.77%,65
45,Jēkabpils Agrobiznesa koledža,4571203,ANG12,57.75%,40
45,Jēkabpils Agrobiznesa koledža,4571203,LAT12,44.53%,57
45,Jēkabpils Agrobiznesa koledža,4571203,MAT12,28.56%,57
