Novads,Nosaukums,Kopvērtējums,Priekšmets
Vārkavas novads,Vārkavas vidusskola,55.21%,LAT9
Vecpiebalgas novads,Dzērbenes vispārizglītojošā un mūzikas pamatskola,59.39%,LAT9
Vecpiebalgas novads,Inešu pamatskola,73.64%,LAT9
Vecpiebalgas novads,Taurenes pamatskola,50.23%,LAT9
Vecpiebalgas novads,Cēsu 2. vidusskolas Vecpiebalgas konsultpunkts,45.00%,LAT9
Vecpiebalgas novads,Vecpiebalgas vidusskola,55.00%,LAT9
Vecumnieku novads,Stelpes pamatskola,63.33%,LAT9
Vecumnieku novads,Misas vidusskola,69.19%,LAT9
Vecumnieku novads,Skaistkalnes vidusskola,61.30%,LAT9
Vecumnieku novads,Vecumnieku novada Domes Valles vidusskola,70.61%,LAT9
Vecumnieku novads,Vecumnieku vidusskola,59.89%,LAT9
Ventspils novads,Ances pamatskola,62.47%,LAT9
Ventspils novads,Jūrkalnes pamatskola,68.18%,LAT9
Ventspils novads,Popes pamatskola,51.82%,LAT9
Ventspils novads,Puzes pamatskola,68.55%,LAT9
Ventspils novads,Tārgales pamatskola,66.29%,LAT9
Ventspils novads,Užavas pamatskola,57.82%,LAT9
Ventspils novads,Zlēku pamatskola,55.30%,LAT9
Ventspils novads,Zūru pamatskola,59.24%,LAT9
Ventspils novads,Piltenes vidusskola,58.61%,LAT9
Ventspils novads,Ugāles vidusskola,55.73%,LAT9
Ventspils pilsēta,Ventspils 1. pamatskola,66.20%,LAT9
Ventspils pilsēta,Ventspils 2. pamatskola,64.09%,LAT9
Ventspils pilsēta,Ventspils 4. vidusskola,69.55%,LAT9
Ventspils pilsēta,Ventspils 5. vidusskola,70.69%,LAT9
Ventspils pilsēta,Ventspils 6. vidusskola,67.80%,LAT9
Ventspils pilsēta,Ventspils vakara vidusskola,44.24%,LAT9
Ventspils pilsēta,Ventspils 1. ģimnāzija,75.98%,LAT9
Viesītes novads,Rites pamatskola,49.19%,LAT9
Viesītes novads,Viesītes vidusskola,69.09%,LAT9
Viļakas novads,Upītes pamatskola,54.34%,LAT9
Viļakas novads,Viduču pamatskola,73.64%,LAT9
Viļakas novads,Žīguru pamatskola,56.25%,LAT9
Viļakas novads,Rekavas vidusskola,53.27%,LAT9
Viļakas novads,Viļakas Valsts ģimnāzija,65.17%,LAT9
Viļānu novads,Dekšāru pamatskola,53.41%,LAT9
Viļānu novads,Viļānu vidusskola,65.45%,LAT9
Zilupes novads,Zilupes vidusskola,59.58%,LAT9
Aglonas novads,Priežmalas pamatskola,43.78%,MAT9
Aglonas novads,Aglonas vidusskola,71.29%,MAT9
Aglonas novads,Aglonas Katoļu ģimnāzija,50.67%,MAT9
Aglonas novads,Aglonas internātvidusskola,54.93%,MAT9
Aizkraukles novads,Aizkraukles 1. vidusskola,61.23%,MAT9
Aizkraukles novads,Aizkraukles Vakara (maiņu) vidusskola,38.07%,MAT9
Aizkraukles novads,Aizkraukles novada ģimnāzija,68.05%,MAT9
Aizputes novads,Apriķu pamatskola,35.50%,MAT9
Aizputes novads,Dzērves pamatskola,61.83%,MAT9
Aizputes novads,Kalvenes pamatskola,80.00%,MAT9
Aizputes novads,Māteru Jura Kazdangas pamatskola,53.44%,MAT9
Aizputes novads,Aizputes vidusskola,66.03%,MAT9
Aknīstes novads,Asares pamatskola,42.67%,MAT9
Aknīstes novads,Gārsenes pamatskola,42.00%,MAT9
Aknīstes novads,Aknīstes vidusskola,73.14%,MAT9
Alojas novads,Ozolmuižas pamatskola,46.67%,MAT9
Alojas novads,Alojas Ausekļa vidusskola,60.13%,MAT9
Alojas novads,Staiceles vidusskola,50.30%,MAT9
Alsungas novads,Alsungas vidusskola,59.83%,MAT9
Alūksnes novads,Bejas pamatskola,49.33%,MAT9
Alūksnes novads,Ilzenes pamatskola,65.33%,MAT9
Alūksnes novads,Jaunlaicenes pamatskola,74.67%,MAT9
Alūksnes novads,Malienas pamatskola,56.22%,MAT9
Alūksnes novads,Mālupes pamatskola,72.00%,MAT9
Alūksnes novads,Mārkalnes pamatskola,46.22%,MAT9
Alūksnes novads,Pededzes pamatskola,60.38%,MAT9
Alūksnes novads,Strautiņu pamatskola,71.87%,MAT9
Alūksnes novads,Ziemeru pamatskola,65.44%,MAT9
Alūksnes novads,Jaunannas Mūzikas un mākslas pamatskola,75.50%,MAT9
Alūksnes novads,Alūksnes novada vidusskola,47.73%,MAT9
Alūksnes novads,Liepnas vidusskola,58.13%,MAT9
Alūksnes novads,Ernsta Glika Alūksnes Valsts ģimnāzija,64.47%,MAT9
Alūksnes novads,Liepnas internātpamatskola,44.33%,MAT9
Amatas novads,Amatas pamatskola,66.22%,MAT9
Amatas novads,Sērmūkšu pamatskola,44.67%,MAT9
Amatas novads,Skujenes pamatskola,79.33%,MAT9
Amatas novads,Zaubes pamatskola,52.67%,MAT9
Amatas novads,Nītaures vidusskola,60.76%,MAT9
Amatas novads,Drabešu internātpamatskola,40.53%,MAT9
Apes novads,Vidagas Sikšņu pamatskola,50.00%,MAT9
Apes novads,Trapenes pamatskola,50.67%,MAT9
Apes novads,Dāvja Ozoliņa Apes vidusskola,59.56%,MAT9
Apes novads,Ojāra Vācieša Gaujienas vidusskola,39.59%,MAT9
Apes novads,Gaujienas internātpamatskola,46.29%,MAT9
Auces novads,Auces vidusskola,65.90%,MAT9
Auces novads,Bēnes vidusskola,47.78%,MAT9
Ādažu novads,Privātā vidusskola Ādažu Brīvā Valdorfa skola,74.04%,MAT9
Ādažu novads,Ādažu vidusskola,72.98%,MAT9
Babītes novads,Babītes vidusskola,56.62%,MAT9
Baldones novads,Baldones Mūzikas pamatskola,68.00%,MAT9
Baldones novads,Baldones vidusskola,70.67%,MAT9
Baltinavas novads,Baltinavas vidusskola,56.00%,MAT9
Balvu novads,Briežuciema pamatskola,38.67%,MAT9
Balvu novads,Stacijas pamatskola,46.40%,MAT9
Balvu novads,Balvu pamatskola,71.60%,MAT9
Balvu novads,Balvu profesionālā un vispārizglītojošā vidusskola,50.33%,MAT9
Balvu novads,Bērzpils vidusskola,60.48%,MAT9
Balvu novads,Tilžas vidusskola,38.67%,MAT9
Balvu novads,Tilžas vidusskolas Vectilžas filiāle,48.89%,MAT9
Balvu novads,Balvu Valsts ģimnāzija,66.96%,MAT9
Balvu novads,Tilžas internātpamatskola,37.33%,MAT9
Bauskas novads,Bauskas pilsētas pamatskola,63.38%,MAT9
Bauskas novads,Codes pamatskola,58.07%,MAT9
Bauskas novads,Griķu pamatskola,63.11%,MAT9
Bauskas novads,Jaunsaules pamatskola,60.53%,MAT9
Bauskas novads,Mežgaļu pamatskola,60.38%,MAT9
Bauskas novads,Mežotnes pamatskola,53.56%,MAT9
Bauskas novads,Ozolaines pamatskola,62.22%,MAT9
Bauskas novads,Vecsaules pamatskola,62.40%,MAT9
Bauskas novads,Bauskas 2. vidusskola,66.42%,MAT9
Bauskas novads,Īslīces vidusskola,41.22%,MAT9
Bauskas novads,Uzvaras vidusskola,71.71%,MAT9
Bauskas novads,Bauskas Valsts ģimnāzija,73.04%,MAT9
Bauskas novads,Mežotnes internātvidusskola,31.33%,MAT9
Beverīnas novads,J. Endzelīna Kauguru pamatskola,60.89%,MAT9
Beverīnas novads,Trikātas pamatskola,49.67%,MAT9
Brocēnu novads,Blīdenes pamatskola,64.30%,MAT9
Brocēnu novads,Gaiķu pamatskola,54.00%,MAT9
Brocēnu novads,Remtes pamatskola,60.27%,MAT9
Brocēnu novads,Brocēnu vidusskola,50.77%,MAT9
Burtnieku novads,Ēveles pamatskola,47.70%,MAT9
Burtnieku novads,Matīšu pamatskola,49.83%,MAT9
Burtnieku novads,Rencēnu pamatskola,61.11%,MAT9
Burtnieku novads,Burtnieku Ausekļa vidusskola,49.70%,MAT9
Carnikavas novads,Carnikavas pamatskola,66.49%,MAT9
Cesvaines novads,Cesvaines vidusskola,56.00%,MAT9
Cesvaines novads,Cesvaines internātpamatskola,45.07%,MAT9
Cēsu novads,Cēsu 1. pamatskola,68.00%,MAT9
Cēsu novads,Cēsu 2. pamatskola,65.07%,MAT9
Cēsu novads,Cēsu pilsētas pamatskola,53.68%,MAT9
Cēsu novads,Līvu pamatskola,43.33%,MAT9
Cēsu novads,Rāmuļu pamatskola,40.89%,MAT9
Cēsu novads,Cēsu 2. vidusskola,41.33%,MAT9
Cēsu novads,Cēsu 2. vakara (maiņu) vidusskola,39.56%,MAT9
Cēsu novads,Cēsu Valsts ģimnāzija,89.75%,MAT9
Cēsu novads,Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,74.17%,MAT9
Cēsu novads,Cēsu internātpamatskola - rehabilitācijas centrs,66.67%,MAT9
Ciblas novads,Pušmucovas pamatskola,55.33%,MAT9
Ciblas novads,Ciblas vidusskola,46.30%,MAT9
Dagdas novads,Andrupenes pamatskola,48.76%,MAT9
Dagdas novads,Andzeļu pamatskola,34.33%,MAT9
Dagdas novads,Šķaunes pamatskola,86.67%,MAT9
Dagdas novads,Asūnes pamatskola,80.40%,MAT9
Dagdas novads,Dagdas vidusskola,68.00%,MAT9
Dagdas novads,Ezernieku vidusskola,68.00%,MAT9
Daugavpils novads,Kalupes pamatskola,46.40%,MAT9
Daugavpils novads,Naujenes pamatskola,65.89%,MAT9
Daugavpils novads,Nīcgales pamatskola,67.33%,MAT9
Daugavpils novads,Skrudalienas pamatskola,62.67%,MAT9
Daugavpils novads,Biķernieku pamatskola,52.22%,MAT9
Daugavpils novads,Tabores pamatskola,42.67%,MAT9
Daugavpils novads,Lāču pamatskola,47.85%,MAT9
Daugavpils novads,Silenes pamatskola,58.67%,MAT9
Daugavpils novads,Vaboles vidusskola,71.73%,MAT9
Daugavpils novads,Zemgales vidusskola,66.07%,MAT9
Daugavpils novads,Salienas vidusskola,60.17%,MAT9
Daugavpils novads,Špoģu vidusskola,62.14%,MAT9
Daugavpils pilsēta,Daugavpils Vienības pamatskola,64.62%,MAT9
Daugavpils pilsēta,Daugavpils 11. pamatskola,46.58%,MAT9
Daugavpils pilsēta,Daugavpils Saskaņas pamatskola,78.24%,MAT9
Daugavpils pilsēta,Daugavpils 12. vidusskola,58.54%,MAT9
Daugavpils pilsēta,Daugavpils 10. vidusskola,62.35%,MAT9
Daugavpils pilsēta,Daugavpils 15. vidusskola,63.98%,MAT9
Daugavpils pilsēta,Daugavpils 3. vidusskola,79.97%,MAT9
Daugavpils pilsēta,J. Raiņa Daugavpils 6. vidusskola,57.02%,MAT9
Daugavpils pilsēta,Daugavpils Centra vidusskola,79.11%,MAT9
Daugavpils pilsēta,Daugavpils 13. vidusskola,63.71%,MAT9
Daugavpils pilsēta,Daugavpils 16. vidusskola,58.99%,MAT9
Daugavpils pilsēta,Daugavpils 17. vidusskola,55.23%,MAT9
Daugavpils pilsēta,Daugavpils 9. vidusskola,72.07%,MAT9
Daugavpils pilsēta,Daugavpils Krievu vidusskola - licejs,79.61%,MAT9
Daugavpils pilsēta,J.Pilsudska Daugavpils valsts poļu ģimnāzija,66.92%,MAT9
Daugavpils pilsēta,Daugavpils Valsts ģimnāzija,74.08%,MAT9
Daugavpils pilsēta,Daugavpils Būvniecības tehnikums,36.00%,MAT9
Daugavpils pilsēta,Daugavpils Profesionālā vidusskola,40.00%,MAT9
Daugavpils pilsēta,Daugavpils logopēdiskā internātpamatskola - attīstības centrs,52.67%,MAT9
Dobeles novads,Dobeles Kristīgā pamatskola,41.07%,MAT9
Dobeles novads,Bikstu pamatskola,66.50%,MAT9
Dobeles novads,Gardenes pamatskola,36.00%,MAT9
Dobeles novads,Penkules pamatskola,51.17%,MAT9
Dobeles novads,Dobeles 1. vidusskola,40.28%,MAT9
Dobeles novads,Dobeles Valsts ģimnāzija,76.29%,MAT9
Dobeles novads,Dobeles Amatniecības un vispārizglītojošā vidusskola,38.98%,MAT9
Dundagas novads,Kolkas pamatskola,76.67%,MAT9
Dundagas novads,Dundagas vidusskola,65.12%,MAT9
Durbes novads,A. Spāģa Dunalkas pamatskola,38.67%,MAT9
Durbes novads,Ata Kronvalda Durbes vidusskola,61.70%,MAT9
Engures novads,Lapmežciema pamatskola,79.05%,MAT9
Engures novads,Smārdes pamatskola,63.90%,MAT9
Engures novads,Engures vidusskola,61.60%,MAT9
Ērgļu novads,Jāņa Zālīša Sausnējas pamatskola,45.78%,MAT9
Ērgļu novads,Ērgļu vidusskola,62.00%,MAT9
Garkalnes novads,Garkalnes Mākslu un vispārizglītojošā vidusskola,53.33%,MAT9
Garkalnes novads,Berģu Mūzikas un mākslas pamatskola,52.36%,MAT9
Grobiņas novads,Bārtas pamatskola,57.07%,MAT9
Grobiņas novads,Gaviezes pamatskola,52.00%,MAT9
Grobiņas novads,Kapsēdes pamatskola,54.17%,MAT9
Grobiņas novads,Grobiņas pamatskola,63.89%,MAT9
Gulbenes novads,Daukstes pamatskola,58.50%,MAT9
Gulbenes novads,Druvienas pamatskola,71.33%,MAT9
Gulbenes novads,Galgauskas pamatskola,45.82%,MAT9
Gulbenes novads,K. Valdemāra pamatskola,45.71%,MAT9
Gulbenes novads,Litenes pamatskola,72.00%,MAT9
Gulbenes novads,Rankas pamatskola,57.52%,MAT9
Gulbenes novads,Stāķu pamatskola,64.53%,MAT9
Gulbenes novads,Stāmerienas pamatskola,49.83%,MAT9
Gulbenes novads,Tirzas pamatskola,60.89%,MAT9
Gulbenes novads,Gulbenes 2. vidusskola,49.28%,MAT9
Gulbenes novads,Gulbenes vidusskola,68.13%,MAT9
Gulbenes novads,Gulbīša vidusskola,52.67%,MAT9
Gulbenes novads,Lejasciema vidusskola,49.44%,MAT9
Gulbenes novads,Lizuma vidusskola,50.67%,MAT9
Gulbenes novads,Gulbenes Vakara (maiņu) vidusskola,22.22%,MAT9
Gulbenes novads,Gulbenes novada valsts ģimnāzija,68.36%,MAT9
Gulbenes novads,Rankas Profesionālā vidusskola,25.20%,MAT9
Iecavas novads,Dzimtmisas pamatskola,50.55%,MAT9
Iecavas novads,Iecavas vidusskola,56.28%,MAT9
Iecavas novads,Iecavas internātpamatskola,40.92%,MAT9
Ikšķiles novads,Tīnūžu pamatskola,71.43%,MAT9
Ikšķiles novads,Ikšķiles vidusskola,71.97%,MAT9
Ilūkstes novads,Subates pamatskola,53.78%,MAT9
Ilūkstes novads,Eglaines pamatskola,65.71%,MAT9
Ilūkstes novads,Ilūkstes 1. vidusskola,66.59%,MAT9
Ilūkstes novads,Ilūkstes Sadraudzības vidusskola,41.44%,MAT9
Ilūkstes novads,Bebrenes vispārizglītojošā un profesionālā vidusskola,62.80%,MAT9
Inčukalna novads,Inčukalna pamatskola,64.00%,MAT9
Inčukalna novads,Vangažu vidusskola,57.48%,MAT9
Jaunjelgavas novads,Daudzeses pamatskola,63.76%,MAT9
Jaunjelgavas novads,Seces pagasta pamatskola,51.89%,MAT9
Jaunjelgavas novads,Sunākstes pamatskola,66.67%,MAT9
Jaunjelgavas novads,Jaunjelgavas vidusskola,48.74%,MAT9
Jaunpils novads,Jaunpils vidusskola,72.76%,MAT9
Jelgavas novads,Platones pamatskola,53.07%,MAT9
Jelgavas novads,Aizupes pamatskola,61.56%,MAT9
Jelgavas novads,Sesavas pamatskola,59.22%,MAT9
Jelgavas novads,Svētes pamatskola,44.15%,MAT9
Jelgavas novads,Šķibes pamatskola,45.74%,MAT9
Jelgavas novads,Vilces pamatskola,44.58%,MAT9
Jelgavas novads,Kalnciema pagasta vidusskola,46.81%,MAT9
Jelgavas novads,Elejas vidusskola,61.38%,MAT9
Jelgavas novads,Kalnciema vidusskola,54.75%,MAT9
Jelgavas novads,Līvbērzes vidusskola,57.47%,MAT9
Jelgavas novads,Staļģenes vidusskola,61.12%,MAT9
Jelgavas novads,Vircavas vidusskola,48.00%,MAT9
Jelgavas novads,Jelgavas novada Neklātienes vidusskolas Svētes konsult. punkts,28.93%,MAT9
Jelgavas novads,Zaļenieku komerciālā un amatniecības vidusskola,31.62%,MAT9
Jelgavas pilsēta,Jelgavas 2. pamatskola,60.32%,MAT9
Jelgavas pilsēta,Jelgavas Tehnoloģiju vidusskola,50.18%,MAT9
Jelgavas pilsēta,Jelgavas 4. vidusskola,54.78%,MAT9
Jelgavas pilsēta,Jelgavas 5. vidusskola,65.24%,MAT9
Jelgavas pilsēta,Jelgavas 6. vidusskola,61.69%,MAT9
Jelgavas pilsēta,Jelgavas Vakara (maiņu) vidusskola,29.60%,MAT9
Jelgavas pilsēta,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,26.67%,MAT9
Jelgavas pilsēta,Jelgavas Spīdolas ģimnāzija,70.02%,MAT9
Jelgavas pilsēta,Jelgavas Valsts ģimnāzija,68.76%,MAT9
Jelgavas pilsēta,Jelgavas Amatu vidusskola,29.25%,MAT9
Jelgavas pilsēta,Jelgavas 1. internātpamatskola,69.17%,MAT9
Jēkabpils novads,Ābeļu pamatskola,44.93%,MAT9
Jēkabpils novads,Bērzgala pamatskola,61.67%,MAT9
Jēkabpils novads,Dignājas pamatskola,40.00%,MAT9
Jēkabpils novads,Dunavas pamatskola,54.48%,MAT9
Jēkabpils novads,Rubeņu pamatskola,68.38%,MAT9
Jēkabpils novads,Zasas vidusskola,63.50%,MAT9
Jēkabpils pilsēta,Jēkabpils 3. vidusskola,62.43%,MAT9
Jēkabpils pilsēta,Jēkabpils 2. vidusskola,55.40%,MAT9
Jēkabpils pilsēta,Jēkabpils Valsts ģimnāzija,56.65%,MAT9
Jūrmalas pilsēta,Jūrmalas Alternatīvā skola,76.62%,MAT9
Jūrmalas pilsēta,Slokas pamatskola,80.87%,MAT9
Jūrmalas pilsēta,Vaivaru pamatskola,54.22%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Lielupes vidusskola,47.26%,MAT9
Jūrmalas pilsēta,Ķemeru vidusskola,48.00%,MAT9
Jūrmalas pilsēta,Pumpuru vidusskola,59.00%,MAT9
Jūrmalas pilsēta,Majoru vidusskola,69.05%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Kauguru vidusskola,59.38%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Mežmalas vidusskola,60.00%,MAT9
Jūrmalas pilsēta,Jūrmalas pilsētas Jaundubultu vidusskola,73.16%,MAT9
Jūrmalas pilsēta,Jūrmalas vakara vidusskola,52.67%,MAT9
Jūrmalas pilsēta,Murjāņu sporta ģimnāzija Jūrmalas filiāle,53.33%,MAT9
Jūrmalas pilsēta,Jūrmalas Valsts ģimnāzija,69.56%,MAT9
Kandavas novads,Cēres pamatskola,49.00%,MAT9
Kandavas novads,Kandavas novada Zantes pamatskola,57.52%,MAT9
Kandavas novads,Vānes pamatskola,57.56%,MAT9
Kandavas novads,Zemītes pamatskola,47.05%,MAT9
Kandavas novads,Kandavas Kārļa Mīlenbaha vidusskola,61.64%,MAT9
Kandavas novads,Kandavas internātvidusskola,53.71%,MAT9
Kārsavas novads,Mērdzenes pamatskola,62.81%,MAT9
Kārsavas novads,Mežvidu pamatskola,54.53%,MAT9
Kārsavas novads,Salnavas pamatskola,66.48%,MAT9
Kārsavas novads,Kārsavas vidusskola,66.98%,MAT9
Kokneses novads,Bebru pamatskola,64.53%,MAT9
Kokneses novads,Pērses pamatskola,48.76%,MAT9
Kokneses novads,Ilmāra Gaiša Kokneses vidusskola,57.02%,MAT9
Kokneses novads,Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,52.00%,MAT9
Krāslavas novads,Krāslavas pamatskola,58.00%,MAT9
Krāslavas novads,Aulejas pamatskola,80.33%,MAT9
Krāslavas novads,Izvaltas pamatskola,42.52%,MAT9
Krāslavas novads,Robežnieku pamatskola,37.11%,MAT9
Krāslavas novads,Kalniešu pamatskola,46.67%,MAT9
Krāslavas novads,Krāslavas gr. Plāteru v.n. Poļu pamatskola,40.00%,MAT9
Krāslavas novads,Indras vidusskola,52.40%,MAT9
Krāslavas novads,Krāslavas Varavīksnes vidusskola,70.20%,MAT9
Krāslavas novads,Krāslavas Valsts ģimnāzija,77.33%,MAT9
Krimuldas novads,Garlība Merķeļa Lēdurgas pamatskola,63.05%,MAT9
Krimuldas novads,Krimuldas vidusskola,63.48%,MAT9
Krustpils novads,Krustpils pamatskola,59.61%,MAT9
Krustpils novads,Mežāres pamatskola,52.53%,MAT9
Krustpils novads,Sūnu pamatskola,63.85%,MAT9
Krustpils novads,Vīpes pamatskola,59.33%,MAT9
Krustpils novads,Brāļu Skrindu Atašienes vidusskola,64.13%,MAT9
Kuldīgas novads,Kuldīgas pamatskola,62.55%,MAT9
Kuldīgas novads,Ēdoles pamatskola,64.44%,MAT9
Kuldīgas novads,Turlavas pamatskola,68.67%,MAT9
Kuldīgas novads,Vārmes pamatskola,59.05%,MAT9
Kuldīgas novads,Vilgāles pamatskola,53.33%,MAT9
Kuldīgas novads,Z.A. Meierovica Kabiles pamatskola,33.47%,MAT9
Kuldīgas novads,Kuldīgas 2. vidusskola,38.81%,MAT9
Kuldīgas novads,Kuldīgas Centra vidusskola,61.74%,MAT9
Kuldīgas novads,Kuldīgas Mākslas un humanitāro zinību vidusskola,60.17%,MAT9
Kuldīgas novads,V. Plūdoņa Kuldīgas ģimnāzija,52.14%,MAT9
Ķeguma novads,Birzgales pamatskola,61.07%,MAT9
Ķeguma novads,Ķeguma komercnovirziena vidusskola,52.44%,MAT9
Ķekavas novads,Daugmales pamatskola,49.11%,MAT9
Ķekavas novads,"Privātā pamatskola ""Gaismas tilts 97""",57.83%,MAT9
Ķekavas novads,Ķekavas vidusskola,62.86%,MAT9
Ķekavas novads,Baložu vidusskola,51.00%,MAT9
Lielvārdes novads,Lēdmanes pamatskola,54.18%,MAT9
Lielvārdes novads,Lielvārdes pamatskola,46.17%,MAT9
Lielvārdes novads,Edgara Kauliņa Lielvārdes vidusskola,65.15%,MAT9
Lielvārdes novads,Jumpravas vidusskola,52.00%,MAT9
Liepājas pilsēta,Liepājas Katoļu pamatskola,74.11%,MAT9
Liepājas pilsēta,Liepājas 3. pamatskola,48.21%,MAT9
Liepājas pilsēta,Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,57.19%,MAT9
Liepājas pilsēta,J. Čakstes Liepājas pilsētas 10. vidusskola,55.83%,MAT9
Liepājas pilsēta,Liepājas 15. vidusskola,54.51%,MAT9
Liepājas pilsēta,Liepājas Raiņa 6. vidusskola,40.34%,MAT9
Liepājas pilsēta,Liepājas 7. vidusskola,68.76%,MAT9
Liepājas pilsēta,Liepājas A. Puškina 2. vidusskola,68.63%,MAT9
Liepājas pilsēta,Liepājas pilsētas 12. vidusskola,61.98%,MAT9
Liepājas pilsēta,Liepājas 8. vidusskola,58.77%,MAT9
Liepājas pilsēta,Liepājas vakara (maiņu) vidusskola,36.70%,MAT9
Liepājas pilsēta,Liepājas Valsts 1. ģimnāzija,72.06%,MAT9
Liepājas pilsēta,"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",40.00%,MAT9
Liepājas pilsēta,Liepājas internātpamatskola,31.56%,MAT9
Limbažu novads,Baumaņu Kārļa Viļķenes pamatskola,86.33%,MAT9
Limbažu novads,Lādezera pamatskola,39.85%,MAT9
Limbažu novads,Pāles pamatskola,61.50%,MAT9
Limbažu novads,Umurgas pamatskola,64.00%,MAT9
Limbažu novads,Vidrižu pamatskola,41.60%,MAT9
Limbažu novads,Limbažu 3. vidusskola,54.40%,MAT9
Limbažu novads,Limbažu 3. vidusskolas struktūrvienība,30.67%,MAT9
Limbažu novads,Limbažu novada ģimnāzija,54.89%,MAT9
Līgatnes novads,Līgatnes novada vidusskola,54.88%,MAT9
Līvānu novads,Jaunsilavas pamatskola,60.89%,MAT9
Līvānu novads,Jersikas pamatskola,62.93%,MAT9
Līvānu novads,Rožupes pamatskola,51.88%,MAT9
Līvānu novads,Sutru pamatskola,71.17%,MAT9
Līvānu novads,Līvānu 1. vidusskola,64.92%,MAT9
Līvānu novads,Rudzātu vidusskola,57.52%,MAT9
Līvānu novads,Līvānu 2. vidusskola,61.59%,MAT9
Līvānu novads,Līvānu novada Vakara (maiņu) vidusskola,45.87%,MAT9
Lubānas novads,Meirānu Kalpaka pamatskola,34.67%,MAT9
Lubānas novads,Lubānas vidusskola,36.93%,MAT9
Ludzas novads,Nirzas pamatskola,54.89%,MAT9
Ludzas novads,Pildas pamatskola,46.79%,MAT9
Ludzas novads,Ludzas 2. vidusskola,53.63%,MAT9
Ludzas novads,Istras vidusskola,58.33%,MAT9
Ludzas novads,Ludzas novada vakara vidusskola,47.11%,MAT9
Ludzas novads,Ludzas pilsētas ģimnāzija,73.72%,MAT9
Madonas novads,Barkavas pamatskola,61.48%,MAT9
Madonas novads,Degumnieku pamatskola,55.67%,MAT9
Madonas novads,Dzelzavas pamatskola,58.67%,MAT9
Madonas novads,Kalsnavas pamatskola,72.92%,MAT9
Madonas novads,Kristiāna Dāvida pamatskola,66.00%,MAT9
Madonas novads,Kusas pamatskola,59.62%,MAT9
Madonas novads,Lazdonas pamatskola,42.67%,MAT9
Madonas novads,Liezēres pamatskola,56.13%,MAT9
Madonas novads,Mārcienas pamatskola,42.33%,MAT9
Madonas novads,Mētrienas pamatskola,69.33%,MAT9
Madonas novads,Praulienas pamatskola,63.33%,MAT9
Madonas novads,Vestienas pamatskola,59.67%,MAT9
Madonas novads,Madonas pilsētas 1. vidusskola,61.16%,MAT9
Madonas novads,Madonas pilsētas 2. vidusskola,54.50%,MAT9
Madonas novads,Andreja Eglīša Ļaudonas vidusskola,52.58%,MAT9
Madonas novads,Madonas Vakara un neklātienes vidusskola,19.85%,MAT9
Madonas novads,Madonas Valsts ģimnāzija,71.86%,MAT9
Mazsalacas novads,Mazsalacas vidusskola,53.82%,MAT9
Mālpils novads,Sidgundas pamatskola,59.00%,MAT9
Mālpils novads,Mālpils novada vidusskola,64.71%,MAT9
Mālpils novads,Mālpils internātpamatskola,28.87%,MAT9
Mārupes novads,Mārupes pamatskola,45.33%,MAT9
Mārupes novads,Mārupes vidusskola,70.47%,MAT9
Naukšēnu novads,Naukšēnu novada vidusskola,59.30%,MAT9
Naukšēnu novads,"Sociālās korekcijas izglītības iestāde ""Naukšēni""",48.33%,MAT9
Neretas novads,Mazzalves pamatskola,45.83%,MAT9
Neretas novads,Sproģu pamatskola,21.33%,MAT9
Neretas novads,Neretas Jāņa Jaunsudrabiņa vidusskola,55.50%,MAT9
Nīcas novads,Rudes pamatskola,61.67%,MAT9
Nīcas novads,Nīcas vidusskola,64.81%,MAT9
Ogres novads,Ķeipenes pamatskola,60.30%,MAT9
Ogres novads,Ogresgala pamatskola,45.00%,MAT9
Ogres novads,Taurupes pamatskola,46.89%,MAT9
Ogres novads,Ogres 1. vidusskola,66.76%,MAT9
Ogres novads,Madlienas vidusskola,54.40%,MAT9
Ogres novads,Mazozolu filiāle,57.87%,MAT9
Ogres novads,Meņģeles filiāle,58.40%,MAT9
Ogres novads,Suntažu vidusskola,61.71%,MAT9
Ogres novads,OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,36.27%,MAT9
Ogres novads,Ogres Valsts ģimnāzija,71.12%,MAT9
Ogres novads,Suntažu internātpamatskola - rehabilitācijas centrs,51.47%,MAT9
Olaines novads,Olaines 1. vidusskola,60.98%,MAT9
Olaines novads,Olaines 2. vidusskola,60.20%,MAT9
Ozolnieku novads,Garozas pamatskola,55.43%,MAT9
Ozolnieku novads,Teteles pamatskola,66.22%,MAT9
Ozolnieku novads,Ozolnieku vidusskola,58.25%,MAT9
Pārgaujas novads,Straupes pamatskola,38.33%,MAT9
Pārgaujas novads,Stalbes vidusskola,61.60%,MAT9
Pāvilostas novads,Vērgales pamatskola,64.15%,MAT9
Pāvilostas novads,Pāvilostas vidusskola,56.15%,MAT9
Pļaviņu novads,Pļaviņu novada ģimnāzija,58.49%,MAT9
