Priekšmets,Skola,Kopvērtējums
LAT12,Jūrmalas pilsētas Jaundubultu vidusskola,41.00%
ANG12,Jūrmalas pilsētas Kauguru vidusskola,50.90%
MAT12,Jūrmalas pilsētas Kauguru vidusskola,54.50%
LAT12,Jūrmalas pilsētas Kauguru vidusskola,40.10%
ANG12,Jūrmalas pilsētas Lielupes vidusskola,51.40%
MAT12,Jūrmalas pilsētas Lielupes vidusskola,46.00%
LAT12,Jūrmalas pilsētas Lielupes vidusskola,47.20%
ANG12,Jūrmalas pilsētas Mežmalas vidusskola,19.50%
MAT12,Jūrmalas pilsētas Mežmalas vidusskola,13.60%
LAT12,Jūrmalas pilsētas Mežmalas vidusskola,24.80%
ANG12,Jūrmalas vakara vidusskola,51.40%
MAT12,Jūrmalas vakara vidusskola,47.90%
LAT12,Jūrmalas vakara vidusskola,44.80%
ANG12,Jūrmalas Valsts ģimnāzija,65.50%
MAT12,Jūrmalas Valsts ģimnāzija,51.30%
LAT12,Jūrmalas Valsts ģimnāzija,61.20%
ANG12,Kalnciema pagasta vidusskola,50.70%
MAT12,Kalnciema pagasta vidusskola,32.80%
LAT12,Kalnciema pagasta vidusskola,46.90%
ANG12,Kalnciema vidusskola,53.20%
MAT12,Kalnciema vidusskola,41.40%
LAT12,Kalnciema vidusskola,53.00%
ANG12,Kandavas internātvidusskola,43.30%
MAT12,Kandavas internātvidusskola,42.10%
LAT12,Kandavas internātvidusskola,53.30%
ANG12,Kandavas Kārļa Mīlenbaha vidusskola,58.10%
MAT12,Kandavas Kārļa Mīlenbaha vidusskola,50.10%
LAT12,Kandavas Kārļa Mīlenbaha vidusskola,61.30%
ANG12,Kārļa Videnieka Rīgas 77. vidusskola,52.10%
MAT12,Kārļa Videnieka Rīgas 77. vidusskola,32.10%
LAT12,Kārļa Videnieka Rīgas 77. vidusskola,50.50%
ANG12,Kārsavas vidusskola,61.80%
MAT12,Kārsavas vidusskola,65.70%
LAT12,Kārsavas vidusskola,62.50%
ANG12,Kaunatas vidusskola,38.30%
MAT12,Kaunatas vidusskola,53.40%
LAT12,Kaunatas vidusskola,44.00%
ANG12,Krāslavas Valsts ģimnāzija,53.60%
MAT12,Krāslavas Valsts ģimnāzija,56.10%
LAT12,Krāslavas Valsts ģimnāzija,64.30%
ANG12,Krāslavas Varavīksnes vidusskola,47.90%
MAT12,Krāslavas Varavīksnes vidusskola,51.30%
LAT12,Krāslavas Varavīksnes vidusskola,45.00%
ANG12,Krimuldas vidusskola,60.20%
MAT12,Krimuldas vidusskola,41.40%
LAT12,Krimuldas vidusskola,58.90%
ANG12,Kuldīgas 2. vidusskola,40.80%
MAT12,Kuldīgas 2. vidusskola,32.60%
LAT12,Kuldīgas 2. vidusskola,48.10%
ANG12,Kuldīgas Centra vidusskola,58.90%
MAT12,Kuldīgas Centra vidusskola,43.10%
LAT12,Kuldīgas Centra vidusskola,61.70%
ANG12,Kuldīgas Mākslas un humanitāro zinību vidusskola,65.60%
MAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,53.20%
LAT12,Kuldīgas Mākslas un humanitāro zinību vidusskola,68.30%
ANG12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,32.70%
MAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,17.40%
LAT12,Kuldīgas Tehnoloģiju un tūrisma profesionālā vidusskola,39.80%
ANG12,Ķeguma komercnovirziena vidusskola,64.00%
MAT12,Ķeguma komercnovirziena vidusskola,54.60%
LAT12,Ķeguma komercnovirziena vidusskola,62.70%
ANG12,Ķekavas vidusskola,63.10%
MAT12,Ķekavas vidusskola,45.00%
LAT12,Ķekavas vidusskola,65.20%
ANG12,Ķemeru vidusskola,45.00%
MAT12,Ķemeru vidusskola,27.10%
LAT12,Ķemeru vidusskola,44.50%
ANG12,Laidzes Profesionālā vidusskola,31.50%
MAT12,Laidzes Profesionālā vidusskola,19.50%
LAT12,Laidzes Profesionālā vidusskola,38.90%
ANG12,Latgales AMAT12niecības meistaru skola,24.10%
MAT12,Latgales AMAT12niecības meistaru skola,38.10%
LAT12,Latgales AMAT12niecības meistaru skola,34.40%
ANG12,Latvijas Jūras akadēmijas Jūrskola,50.30%
