Izglītības iestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
A. Spāģa Dunalkas pamatskola,68.50%,2,ANG9
Ābeļu pamatskola,69.50%,4,ANG9
Ādažu vidusskola,78.26%,116,ANG9
Āgenskalna Valsts ģimnāzija,85.56%,102,ANG9
Aglonas vidusskola,69.00%,2,ANG9
Aizkraukles novada vidusskola,71.20%,60,ANG9
Aizkraukles Vakara (maiņu) vidusskola,62.75%,4,ANG9
Aizputes novada Neklātienes vidusskola,64.75%,4,ANG9
Aizputes pagasta pamatskola,54.67%,9,ANG9
Aizputes vidusskola,76.10%,42,ANG9
Aizupes pamatskola,79.83%,12,ANG9
Aknīstes vidusskola,65.18%,11,ANG9
Allažu pamatskola,57.00%,9,ANG9
Alojas Ausekļa vidusskola,80.88%,17,ANG9
Alsungas vidusskola,73.11%,9,ANG9
Alūksnes novada vidusskola,58.36%,11,ANG9
Amatas novada Skujenes pamatskola,65.50%,2,ANG9
Amatas pamatskola,69.00%,4,ANG9
Ances pamatskola,77.43%,7,ANG9
Andreja Eglīša Ļaudonas vidusskola,70.84%,19,ANG9
Andreja Pumpura Rīgas 11. pamatskola,78.70%,27,ANG9
Andreja Upīša Skrīveru vidusskola,76.19%,21,ANG9
Andzeļu pamatskola,78.00%,2,ANG9
Annas Brigaderes pamatskola,66.00%,7,ANG9
Ata Kronvalda Durbes pamatskola,67.50%,12,ANG9
Auces vidusskola,63.71%,31,ANG9
Audriņu pamatskola,43.50%,2,ANG9
Augstkalnes vidusskola,74.40%,10,ANG9
Babītes vidusskola,80.62%,55,ANG9
Baldones Mūzikas pamatskola,82.20%,10,ANG9
Baldones vidusskola,79.45%,20,ANG9
Baložu vidusskola,66.35%,23,ANG9
Baltinavas vidusskola,70.90%,10,ANG9
Balvu pamatskola,53.67%,6,ANG9
Balvu profesionālā un vispārizglītojošā vidusskola,54.25%,8,ANG9
Balvu Valsts ģimnāzija,71.65%,37,ANG9
Barkavas pamatskola,60.20%,5,ANG9
Bārtas pamatskola,74.20%,5,ANG9
Baumaņu Kārļa Viļķenes pamatskola,71.33%,6,ANG9
Bauskas 2. vidusskola,73.23%,26,ANG9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Īslīces pamatskola""",67.53%,15,ANG9
"Bauskas novada pašvaldības vispārējās izglītības iestāde ""Uzvaras pamatskola""",82.00%,8,ANG9
Bauskas pilsētas pamatskola,66.38%,21,ANG9
Bauskas Valsts ģimnāzija,78.67%,52,ANG9
Bebrenes vispārizglītojošā un profesionālā vidusskola,76.00%,8,ANG9
Bebru pamatskola,68.00%,3,ANG9
Bejas pamatskola,62.67%,3,ANG9
Bēnes vidusskola,64.83%,12,ANG9
Berģu Mūzikas un mākslas pamatskola,79.59%,17,ANG9
Bērzaunes pamatskola,78.20%,5,ANG9
Bērzgales pamatskola,79.00%,1,ANG9
Bērzpils vidusskola,55.00%,1,ANG9
"Biedrības ""Tautskola 99 Baltie zirgi"" pamatskola",96.00%,1,ANG9
Biķernieku pamatskola,53.00%,6,ANG9
Bikstu pamatskola,60.67%,3,ANG9
Bilskas pamatskola,41.00%,1,ANG9
Birzgales pamatskola,72.80%,10,ANG9
Biržu pamatskola,67.00%,6,ANG9
Blīdenes pamatskola,62.50%,12,ANG9
Blomes pamatskola,79.00%,4,ANG9
Brāļu Skrindu Atašienes vidusskola,78.38%,8,ANG9
Brocēnu vidusskola,70.05%,37,ANG9
Burtnieku Ausekļa pamatskola,57.25%,4,ANG9
Carnikavas pamatskola,73.62%,13,ANG9
Cēres pamatskola,68.60%,5,ANG9
Cēsu 1. pamatskola,70.17%,18,ANG9
Cēsu 2. pamatskola,73.46%,37,ANG9
Cēsu internātpamatskola - attīstības centrs,59.67%,3,ANG9
Cēsu Pilsētas vidusskola,69.91%,33,ANG9
Cēsu Valsts ģimnāzija,85.18%,40,ANG9
Cesvaines vidusskola,69.44%,18,ANG9
Cieceres pamatskola,52.62%,21,ANG9
Codes pamatskola,81.88%,8,ANG9
Dagdas vidusskola,76.00%,3,ANG9
Daudzeses pamatskola,82.40%,5,ANG9
Daugavgrīvas cietums,47.33%,6,ANG9
Daugavpils 10. vidusskola,61.52%,50,ANG9
Daugavpils 11. pamatskola,42.50%,18,ANG9
Daugavpils 12. vidusskola,73.25%,20,ANG9
Daugavpils 13. vidusskola,56.73%,60,ANG9
Daugavpils 15. vidusskola,51.95%,55,ANG9
Daugavpils 16. vidusskola,63.43%,53,ANG9
Daugavpils 17. vidusskola,60.46%,26,ANG9
Daugavpils 3. vidusskola,61.04%,50,ANG9
Daugavpils 9. vidusskola,65.05%,57,ANG9
Daugavpils Centra vidusskola,60.51%,37,ANG9
Daugavpils Krievu vidusskola - licejs,75.52%,56,ANG9
Daugavpils Saskaņas pamatskola,64.79%,38,ANG9
Daugavpils Stropu pamatskola - attīstības centrs,43.80%,10,ANG9
Daugavpils Valsts ģimnāzija,75.00%,16,ANG9
Daugavpils Vienības pamatskola,60.33%,12,ANG9
Daugmales pamatskola,76.58%,12,ANG9
Dāvja Ozoliņa Apes vidusskola,70.88%,8,ANG9
Degumnieku pamatskola,48.00%,4,ANG9
Dekšāru pamatskola,80.17%,6,ANG9
Dignājas pamatskola,60.57%,7,ANG9
Dobeles 1. vidusskola,65.94%,51,ANG9
Dobeles Amatniecības un vispārizglītojošā vidusskola,54.33%,6,ANG9
Dobeles Valsts ģimnāzija,77.30%,46,ANG9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,79.95%,20,ANG9
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,75.67%,27,ANG9
Dravnieku pamatskola,50.50%,2,ANG9
Dricānu vidusskola,71.00%,5,ANG9
Drustu pamatskola,79.33%,3,ANG9
Dundagas vidusskola,74.24%,21,ANG9
Dzelzavas pamatskola,50.83%,6,ANG9
Dzērves pamatskola,57.83%,6,ANG9
Dzimtmisas pamatskola,66.25%,8,ANG9
Džūkstes pamatskola,73.00%,6,ANG9
Edgara Kauliņa Lielvārdes vidusskola,65.23%,35,ANG9
Ēdoles pamatskola,67.00%,3,ANG9
Elejas vidusskola,58.27%,15,ANG9
Emīla Dārziņa mūzikas skola,82.07%,30,ANG9
Engures vidusskola,63.00%,11,ANG9
Ērģemes pamatskola,73.25%,4,ANG9
Ērgļu vidusskola,73.29%,17,ANG9
Ernsta Glika Alūksnes Valsts ģimnāzija,76.51%,43,ANG9
Ēveles pamatskola,66.71%,7,ANG9
Feimaņu pamatskola,82.00%,1,ANG9
"filiāle ""Laidzes pamatskola""",55.13%,8,ANG9
Friča Brīvzemnieka pamatskola,75.79%,19,ANG9
Gaigalavas pamatskola,79.00%,2,ANG9
Galēnu pamatskola,92.00%,2,ANG9
Galgauskas pamatskola,61.50%,2,ANG9
Gardenes pamatskola,36.00%,1,ANG9
Garkalnes Mākslu un vispārizglītojošā pamatskola,79.57%,7,ANG9
Garlība Merķeļa Lēdurgas pamatskola,70.43%,7,ANG9
Garozas pamatskola,62.57%,7,ANG9
Gaujienas pamatskola,56.50%,4,ANG9
Gaviezes pamatskola,45.33%,3,ANG9
Griķu pamatskola,53.70%,10,ANG9
Grobiņas ģimnāzija,68.89%,53,ANG9
Grundzāles pamatskola,73.18%,11,ANG9
Gulbenes 2. vidusskola,67.37%,54,ANG9
Gulbenes novada valsts ģimnāzija,82.57%,23,ANG9
Gulbīša pamatskola,45.33%,6,ANG9
Habad Ebreju privātā vidusskola,57.33%,3,ANG9
Iecavas internātpamatskola,55.63%,8,ANG9
Iecavas vidusskola,80.48%,42,ANG9
Ikšķiles vidusskola,79.33%,66,ANG9
Iļģuciema vidusskola,75.31%,26,ANG9
Ilmāra Gaiša Kokneses vidusskola,73.85%,34,ANG9
Ilūkstes Raiņa vidusskola,67.36%,14,ANG9
Inčukalna pamatskola,76.38%,8,ANG9
Indras pamatskola,64.00%,1,ANG9
"Informācijas sistēmu menedžmenta augstskolas vidusskola ""PREMJERS""",71.30%,10,ANG9
Irlavas pamatskola,63.50%,8,ANG9
J. Čakstes Liepājas pilsētas 10. vidusskola,69.89%,44,ANG9
J. Endzelīna Kauguru pamatskola,63.50%,8,ANG9
J. Raiņa Daugavpils 6. vidusskola,54.67%,30,ANG9
J.G.Herdera Rīgas Grīziņkalna vidusskola,55.04%,25,ANG9
J.Pilsudska Daugavpils valsts poļu ģimnāzija,61.40%,30,ANG9
Jāņa Eglīša Preiļu Valsts ģimnāzija,74.00%,13,ANG9
Jāņa Zālīša Sausnējas pamatskola,65.80%,5,ANG9
Jankas Kupalas Rīgas Baltkrievu pamatskola,48.54%,13,ANG9
Jaunannas Mūzikas un mākslas pamatskola,75.50%,4,ANG9
Jaunjelgavas vidusskola,71.31%,16,ANG9
Jaunmārupes pamatskola,78.47%,32,ANG9
Jaunogres vidusskola,51.50%,44,ANG9
Jaunpiebalgas vidusskola,62.80%,20,ANG9
Jaunpils vidusskola,67.88%,17,ANG9
Jaunsilavas pamatskola,80.86%,7,ANG9
Jaunstrūžānu pamatskola,69.50%,2,ANG9
Jēkabpils 2. vidusskola,63.26%,46,ANG9
Jēkabpils 3. vidusskola,73.63%,40,ANG9
Jēkabpils vakara vidusskola,49.00%,1,ANG9
Jēkabpils Valsts ģimnāzija,78.57%,74,ANG9
Jelgavas 2. pamatskola,59.88%,42,ANG9
Jelgavas 4. vidusskola,74.22%,81,ANG9
Jelgavas 5. vidusskola,54.81%,54,ANG9
Jelgavas 6. vidusskola,51.62%,47,ANG9
Jelgavas Amatu vidusskola,51.33%,3,ANG9
Jelgavas novada Neklātienes vidusskola,47.67%,6,ANG9
"Jelgavas pamatskola ""Valdeka"" - attīstības centrs",75.50%,4,ANG9
Jelgavas Spīdolas Valsts ģimnāzija,82.59%,83,ANG9
Jelgavas Tehnoloģiju vidusskola,66.23%,53,ANG9
Jelgavas Valsts ģimnāzija,77.18%,91,ANG9
Jersikas pamatskola,80.25%,4,ANG9
Jumpravas pamatskola,70.07%,14,ANG9
Jura Neikena Dikļu pamatskola,65.17%,6,ANG9
JŪRMALA,67.63%,8,ANG9
Jūrmalas Alternatīvā skola,86.84%,19,ANG9
Jūrmalas pilsētas Jaundubultu vidusskola,69.45%,20,ANG9
Jūrmalas pilsētas Kauguru vidusskola,59.89%,46,ANG9
Jūrmalas pilsētas Lielupes pamatskola,81.00%,10,ANG9
Jūrmalas pilsētas Mežmalas vidusskola,52.20%,30,ANG9
Jūrmalas vakara vidusskola,43.50%,2,ANG9
