"Novada 
kods",Skola,"Skolas 
kods",Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
37,Ilūkstes 1. vidusskola,3731304,MAT12,60.95%,29
37,Ilūkstes 1. vidusskola,3731304,LAT12,52.90%,29
37,Ilūkstes Sadraudzības vidusskola,3733307,ANG12,27.90%,11
37,Ilūkstes Sadraudzības vidusskola,3733307,MAT12,31.03%,23
37,Ilūkstes Sadraudzības vidusskola,3733307,LAT12,27.71%,23
38,VANG12ažu vidusskola,3833302,ANG12,62.44%,11
38,VANG12ažu vidusskola,3833302,MAT12,23.13%,12
38,VANG12ažu vidusskola,3833302,LAT12,45.40%,12
39,Jaunjelgavas vidusskola,3931302,ANG12,63.33%,7
39,Jaunjelgavas vidusskola,3931302,MAT12,27.01%,9
39,Jaunjelgavas vidusskola,3931302,LAT12,50.75%,9
40,Jaunpiebalgas vidusskola,4031401,ANG12,50.31%,12
40,Jaunpiebalgas vidusskola,4031401,MAT12,23.85%,12
40,Jaunpiebalgas vidusskola,4031401,LAT12,46.49%,12
41,Jaunpils vidusskola,4131401,ANG12,68.69%,7
41,Jaunpils vidusskola,4131401,MAT12,41.78%,7
41,Jaunpils vidusskola,4131401,LAT12,67.20%,7
42,Elejas vidusskola,4231402,ANG12,25.91%,1
42,Elejas vidusskola,4231402,MAT12,24.95%,13
42,Elejas vidusskola,4231402,LAT12,34.87%,13
42,Jelgavas novada Neklātienes vidusskola,4241213,ANG12,59.03%,25
42,Jelgavas novada Neklātienes vidusskola,4241213,MAT12,12.43%,47
42,Jelgavas novada Neklātienes vidusskola,4241213,LAT12,43.21%,45
42,Kalnciema pagasta vidusskola,4231309,ANG12,61.62%,4
42,Kalnciema pagasta vidusskola,4231309,MAT12,20.37%,5
42,Kalnciema pagasta vidusskola,4231309,LAT12,55.11%,5
42,Kalnciema vidusskola,4231410,ANG12,48.46%,8
42,Kalnciema vidusskola,4231410,MAT12,21.11%,9
42,Kalnciema vidusskola,4231410,LAT12,44.94%,9
42,Līvbērzes vidusskola,4231414,ANG12,32.41%,1
42,Līvbērzes vidusskola,4231414,MAT12,20.50%,5
42,Līvbērzes vidusskola,4231414,LAT12,54.09%,5
42,Staļģenes vidusskola,4231418,ANG12,54.64%,8
42,Staļģenes vidusskola,4231418,MAT12,9.08%,15
42,Staļģenes vidusskola,4231418,LAT12,38.90%,15
42,Vircavas vidusskola,4231422,ANG12,65.76%,6
42,Vircavas vidusskola,4231422,MAT12,25.97%,9
42,Vircavas vidusskola,4231422,LAT12,43.37%,9
42,Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,ANG12,34.00%,9
42,Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,MAT12,9.41%,17
42,Zaļenieku komerciālā un aMAT12niecības vidusskola,4271424,LAT12,32.67%,14
43,Jelgavas 4. vidusskola,4331207,ANG12,66.86%,23
43,Jelgavas 4. vidusskola,4331207,MAT12,36.04%,27
43,Jelgavas 4. vidusskola,4331207,LAT12,61.61%,27
43,Jelgavas 5. vidusskola,4333208,ANG12,70.70%,21
43,Jelgavas 5. vidusskola,4333208,MAT12,67.59%,21
43,Jelgavas 5. vidusskola,4333208,LAT12,48.05%,21
43,Jelgavas 6. vidusskola,4333209,ANG12,56.20%,28
43,Jelgavas 6. vidusskola,4333209,MAT12,48.41%,28
43,Jelgavas 6. vidusskola,4333209,LAT12,42.69%,28
43,Jelgavas AMAT12u vidusskola,4371211,ANG12,40.67%,39
43,Jelgavas AMAT12u vidusskola,4371211,MAT12,10.87%,46
43,Jelgavas AMAT12u vidusskola,4371211,LAT12,33.37%,49
43,Jelgavas Mūzikas vidusskola,4371212,ANG12,60.28%,8
43,Jelgavas Mūzikas vidusskola,4371212,MAT12,39.51%,9
43,Jelgavas Mūzikas vidusskola,4371212,LAT12,53.97%,9
43,Jelgavas Spīdolas ģimnāzija,4351216,ANG12,77.10%,64
43,Jelgavas Spīdolas ģimnāzija,4351216,MAT12,44.51%,71
43,Jelgavas Spīdolas ģimnāzija,4351216,LAT12,65.78%,71
43,Jelgavas Tehnikums,4371222,ANG12,47.42%,121
43,Jelgavas Tehnikums,4371222,MAT12,15.88%,138
43,Jelgavas Tehnikums,4371222,LAT12,38.33%,135
43,Jelgavas Tehnoloģiju vidusskola,4331201,ANG12,60.94%,24
43,Jelgavas Tehnoloģiju vidusskola,4331201,MAT12,29.93%,26
43,Jelgavas Tehnoloģiju vidusskola,4331201,LAT12,59.74%,26
43,Jelgavas Vakara (maiņu) vidusskola,4341217,ANG12,53.98%,18
43,Jelgavas Vakara (maiņu) vidusskola,4341217,MAT12,18.55%,22
43,Jelgavas Vakara (maiņu) vidusskola,4341217,LAT12,47.88%,22
43,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,MAT12,10.42%,6
43,Jelgavas Vakara (maiņu) vidusskola Jelgavas cietums,4343218,LAT12,32.19%,6
43,Jelgavas Valsts ģimnāzija,4361218,ANG12,72.18%,77
43,Jelgavas Valsts ģimnāzija,4361218,MAT12,42.88%,80
43,Jelgavas Valsts ģimnāzija,4361218,LAT12,65.05%,80
44,Zasas vidusskola,4431409,ANG12,52.94%,4
44,Zasas vidusskola,4431409,MAT12,29.69%,4
44,Zasas vidusskola,4431409,LAT12,46.87%,4
45,Jēkabpils 2. vidusskola,4532201,ANG12,49.15%,27
45,Jēkabpils 2. vidusskola,4532201,MAT12,44.05%,27
45,Jēkabpils 2. vidusskola,4532201,LAT12,45.68%,27
45,Jēkabpils 3. vidusskola,4531202,ANG12,54.91%,33
45,Jēkabpils 3. vidusskola,4531202,MAT12,29.44%,36
45,Jēkabpils 3. vidusskola,4531202,LAT12,62.40%,36
45,Jēkabpils Agrobiznesa koledža,4571203,ANG12,53.54%,40
45,Jēkabpils Agrobiznesa koledža,4571203,MAT12,27.19%,60
45,Jēkabpils Agrobiznesa koledža,4571203,LAT12,47.15%,60
45,Jēkabpils vakara vidusskola,4543206,ANG12,60.77%,3
45,Jēkabpils vakara vidusskola,4543206,MAT12,18.75%,20
