Novads,Skola,Priekšmets,Kopvērtējums,"Kārtotāju 
skaits"
141,Jaunpils vidusskola,LAT12,47.08,7
141,Jaunpils vidusskola,MAT12,44.46,7
142,Elejas vidusskola,ANG12,69.82,16
142,Elejas vidusskola,LAT12,50.7,22
142,Elejas vidusskola,MAT12,38.72,22
142,Jelgavas novada Neklātienes vidusskola,ANG12,63.11,18
142,Jelgavas novada Neklātienes vidusskola,LAT12,36.59,46
142,Jelgavas novada Neklātienes vidusskola,MAT12,10.97,52
142,Kalnciema pagasta vidusskola,ANG12,53.31,10
142,Kalnciema pagasta vidusskola,LAT12,39.77,15
142,Kalnciema pagasta vidusskola,MAT12,25.71,15
142,Kalnciema vidusskola,ANG12,55.84,6
142,Kalnciema vidusskola,LAT12,49.65,13
142,Kalnciema vidusskola,MAT12,23.12,13
142,Staļģenes vidusskola,ANG12,54.31,10
142,Staļģenes vidusskola,LAT12,34.24,19
142,Staļģenes vidusskola,MAT12,13.44,20
142,Vircavas vidusskola,ANG12,64.44,9
142,Vircavas vidusskola,LAT12,53.41,10
142,Vircavas vidusskola,MAT12,34.25,10
142,Zaļenieku komerciālā un amatniecības vidusskola,ANG12,38.49,13
142,Zaļenieku komerciālā un amatniecības vidusskola,LAT12,29.5,23
142,Zaļenieku komerciālā un amatniecības vidusskola,MAT12,12.81,24
143,Jelgavas 4. vidusskola,ANG12,71.59,35
143,Jelgavas 4. vidusskola,LAT12,56,39
143,Jelgavas 4. vidusskola,MAT12,32.8,39
143,Jelgavas 5. vidusskola,ANG12,58.95,40
143,Jelgavas 5. vidusskola,LAT12,44.06,40
143,Jelgavas 5. vidusskola,MAT12,51.05,40
143,Jelgavas 6. vidusskola,ANG12,49.73,32
143,Jelgavas 6. vidusskola,LAT12,35.85,32
143,Jelgavas 6. vidusskola,MAT12,32.81,32
143,Jelgavas Amatu vidusskola (prof.),ANG12,47.97,28
143,Jelgavas Amatu vidusskola (prof.),LAT12,37.08,35
143,Jelgavas Amatu vidusskola (prof.),MAT12,13.98,41
143,Jelgavas cietums (strukt.),LAT12,23.86,7
143,Jelgavas cietums (strukt.),MAT12,10.54,7
143,Jelgavas Mūzikas vidusskola (prof.),ANG12,67.86,12
143,Jelgavas Mūzikas vidusskola (prof.),LAT12,58.1,12
143,Jelgavas Mūzikas vidusskola (prof.),MAT12,29.58,12
143,Jelgavas Spīdolas ģimnāzija,ANG12,79.81,69
143,Jelgavas Spīdolas ģimnāzija,LAT12,71.3,69
143,Jelgavas Spīdolas ģimnāzija,MAT12,42.79,68
143,Jelgavas Tehnikums (prof.),ANG12,50.2,107
143,Jelgavas Tehnikums (prof.),LAT12,38.85,139
143,Jelgavas Tehnikums (prof.),MAT12,15.14,146
143,Jelgavas Tehnoloģiju vidusskola,ANG12,62.96,37
143,Jelgavas Tehnoloģiju vidusskola,LAT12,58.43,43
143,Jelgavas Tehnoloģiju vidusskola,MAT12,35.44,43
143,Jelgavas Vakara (maiņu) vidusskola,ANG12,62.88,13
143,Jelgavas Vakara (maiņu) vidusskola,LAT12,42.68,17
143,Jelgavas Vakara (maiņu) vidusskola,MAT12,14.9,18
143,Jelgavas Valsts ģimnāzija,ANG12,78.06,89
143,Jelgavas Valsts ģimnāzija,LAT12,69.5,95
143,Jelgavas Valsts ģimnāzija,MAT12,48.66,95
144,Zasas vidusskola,ANG12,43.5,8
144,Zasas vidusskola,LAT12,44.96,8
144,Zasas vidusskola,MAT12,28.12,8
145,Jēkabpils 2. vidusskola,ANG12,45.71,23
145,Jēkabpils 2. vidusskola,LAT12,40.44,23
145,Jēkabpils 2. vidusskola,MAT12,34.86,23
145,Jēkabpils 3. vidusskola,ANG12,60.57,36
145,Jēkabpils 3. vidusskola,LAT12,57.17,50
145,Jēkabpils 3. vidusskola,MAT12,31.35,50
145,Jēkabpils Agrobiznesa koledža,ANG12,60.42,44
145,Jēkabpils Agrobiznesa koledža,LAT12,43.45,71
145,Jēkabpils Agrobiznesa koledža,MAT12,28.23,70
145,Jēkabpils vakara vidusskola,ANG12,39.07,6
145,Jēkabpils vakara vidusskola,LAT12,37.5,17
145,Jēkabpils vakara vidusskola,MAT12,14.85,17
145,Jēkabpils Valsts ģimnāzija,ANG12,77.06,61
145,Jēkabpils Valsts ģimnāzija,LAT12,70.35,65
145,Jēkabpils Valsts ģimnāzija,MAT12,48.46,65
146,JŪRMALA (strukt.),ANG12,63.84,10
146,JŪRMALA (strukt.),LAT12,46.48,10
146,JŪRMALA (strukt.),MAT12,23.56,10
146,Jūrmalas pilsētas Jaundubultu vidusskola,ANG12,49.86,11
146,Jūrmalas pilsētas Jaundubultu vidusskola,LAT12,32.24,12
146,Jūrmalas pilsētas Jaundubultu vidusskola,MAT12,30.83,12
146,Jūrmalas pilsētas Kauguru vidusskola,ANG12,65.75,25
146,Jūrmalas pilsētas Kauguru vidusskola,LAT12,43.09,26
146,Jūrmalas pilsētas Kauguru vidusskola,MAT12,43.87,26
146,Jūrmalas pilsētas Mežmalas vidusskola,ANG12,42.17,13
146,Jūrmalas pilsētas Mežmalas vidusskola,LAT12,29.9,13
146,Jūrmalas pilsētas Mežmalas vidusskola,MAT12,27.4,13
146,Jūrmalas vakara vidusskola,ANG12,46.68,17
146,Jūrmalas vakara vidusskola,LAT12,36.43,18
146,Jūrmalas vakara vidusskola,MAT12,31.97,19
146,Jūrmalas Valsts ģimnāzija,ANG12,76.56,43
146,Jūrmalas Valsts ģimnāzija,LAT12,68.97,46
146,Jūrmalas Valsts ģimnāzija,MAT12,39.47,46
146,Majoru vidusskola,ANG12,67.41,19
146,Majoru vidusskola,LAT12,53.84,21
146,Majoru vidusskola,MAT12,38.42,21
146,Pumpuru vidusskola,ANG12,73.71,21
146,Pumpuru vidusskola,LAT12,60.84,27
146,Pumpuru vidusskola,MAT12,35.58,27
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",ANG12,52.48,17
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",LAT12,44.32,17
146,"Sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola"" (prof.)",MAT12,14.01,17
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),ANG12,60.34,4
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),LAT12,48.58,4
146,Sociālās integrācijas valsts aģentūras Jūrmalas profesionālā vidusskola (prof.),MAT12,31.56,4
147,Kandavas internātvidusskola,ANG12,42.93,9
147,Kandavas internātvidusskola,LAT12,53.03,9
147,Kandavas internātvidusskola,MAT12,23.33,9
147,Kandavas Kārļa Mīlenbaha vidusskola,ANG12,65.39,20
147,Kandavas Kārļa Mīlenbaha vidusskola,LAT12,68.43,21
147,Kandavas Kārļa Mīlenbaha vidusskola,MAT12,33.33,21
147,Kandavas Lauksaimniecības tehnikums (prof.),ANG12,47.77,80
147,Kandavas Lauksaimniecības tehnikums (prof.),LAT12,44.77,76
147,Kandavas Lauksaimniecības tehnikums (prof.),MAT12,18.63,76
148,Kārsavas vidusskola,ANG12,72.55,16
148,Kārsavas vidusskola,LAT12,62.28,18
148,Kārsavas vidusskola,MAT12,68.78,18
148,Malnavas koledža,ANG12,41.05,34
148,Malnavas koledža,LAT12,34.16,66
148,Malnavas koledža,MAT12,14.87,66
149,Ilmāra Gaiša Kokneses vidusskola,ANG12,73.01,30
149,Ilmāra Gaiša Kokneses vidusskola,LAT12,54.89,30
149,Ilmāra Gaiša Kokneses vidusskola,MAT12,36.19,30
150,Krāslavas Valsts ģimnāzija,ANG12,56.73,37
150,Krāslavas Valsts ģimnāzija,LAT12,57.05,45
150,Krāslavas Valsts ģimnāzija,MAT12,44.4,45
150,Krāslavas Varavīksnes vidusskola,ANG12,48.45,26
150,Krāslavas Varavīksnes vidusskola,LAT12,41.96,26
150,Krāslavas Varavīksnes vidusskola,MAT12,43.89,26
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),ANG12,27.82,15
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),LAT12,22.44,16
150,Profesionālās izglītības kompetences centra Rīgas Valsts tehnikums Krāslavas teritoriālā struktūrvienība (prof.) (strukt.),MAT12,19,15
151,Krimuldas vidusskola,ANG12,59.94,9
151,Krimuldas vidusskola,LAT12,75.13,9
151,Krimuldas vidusskola,MAT12,39.17,9
152,Brāļu Skrindu Atašienes vidusskola,ANG12,45.52,4
152,Brāļu Skrindu Atašienes vidusskola,LAT12,50.95,6
152,Brāļu Skrindu Atašienes vidusskola,MAT12,18.33,6
153,Kuldīgas 2. vidusskola,ANG12,51.95,16
153,Kuldīgas 2. vidusskola,LAT12,45.96,19
153,Kuldīgas 2. vidusskola,MAT12,26.84,19
153,Kuldīgas Centra vidusskola,ANG12,70.35,43
153,Kuldīgas Centra vidusskola,LAT12,66.75,43
153,Kuldīgas Centra vidusskola,MAT12,42.09,43
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,ANG12,73.45,9
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,LAT12,66.16,9
153,Kuldīgas Mākslas un humanitāro zinību vidusskola,MAT12,35.07,9
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),ANG12,44.39,67
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),LAT12,40.93,67
153,Kuldīgas Tehnoloģiju un tūrisma tehnikums (prof.),MAT12,13.99,70
153,V. Plūdoņa Kuldīgas ģimnāzija,ANG12,61.24,22
153,V. Plūdoņa Kuldīgas ģimnāzija,LAT12,60.8,22
153,V. Plūdoņa Kuldīgas ģimnāzija,MAT12,35.03,22
154,Ķeguma komercnovirziena vidusskola,ANG12,83.76,13
