Skola,skolas kods,Priekšmets,Kopvērtējums,Kārtotāju skaits
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,LAT12,41.76%,47
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,ANG12,36.52%,50
"Valsts sabiedrība ar ierobežotu atbildību ""Bulduru Dārzkopības vidusskola""",4671222,MAT12,22.51%,48
Kandavas Kārļa Mīlenbaha vidusskola,4731303,LAT12,53.97%,13
Kandavas Kārļa Mīlenbaha vidusskola,4731303,MAT12,53.48%,14
Kandavas Kārļa Mīlenbaha vidusskola,4731303,ANG12,44.62%,12
"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",4771309,LAT12,39.42%,115
"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",4771309,ANG12,34.92%,114
"Profesionālās izglītības kompetences centrs ""Kandavas Valsts lauksaimniecības tehnikums""",4771309,MAT12,27.46%,115
Kandavas internātvidusskola,4781302,LAT12,54.39%,15
Kandavas internātvidusskola,4781302,MAT12,44.62%,15
Kandavas internātvidusskola,4781302,ANG12,43.78%,15
Kārsavas vidusskola,4831302,ANG12,64.86%,10
Kārsavas vidusskola,4831302,MAT12,60.50%,15
Kārsavas vidusskola,4831302,LAT12,56.93%,15
Malnavas koledža,4871404,ANG12,30.94%,45
Malnavas koledža,4871404,LAT12,30.88%,88
Malnavas koledža,4871404,MAT12,22.77%,91
Ilmāra Gaiša Kokneses vidusskola,4931403,ANG12,71.07%,29
Ilmāra Gaiša Kokneses vidusskola,4931403,LAT12,55.46%,31
Ilmāra Gaiša Kokneses vidusskola,4931403,MAT12,53.10%,31
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,LAT12,43.15%,20
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,ANG12,35.82%,18
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola,4971406,MAT12,19.41%,20
Indras vidusskola,5031402,MAT12,58.85%,6
Indras vidusskola,5031402,LAT12,40.24%,6
Indras vidusskola,5031402,ANG12,37.29%,4
Krāslavas Varavīksnes vidusskola,5033309,MAT12,60.65%,23
Krāslavas Varavīksnes vidusskola,5033309,ANG12,45.26%,26
Krāslavas Varavīksnes vidusskola,5033309,LAT12,41.15%,26
Krāslavas Valsts ģimnāzija,5061308,MAT12,59.84%,48
Krāslavas Valsts ģimnāzija,5061308,LAT12,58.81%,48
Krāslavas Valsts ģimnāzija,5061308,ANG12,52.21%,45
PIKC RVT Krāslavas teritoriālā struktūrvienība ,5071311,ANG12,28.35%,5
PIKC RVT Krāslavas teritoriālā struktūrvienība ,5071311,MAT12,28.33%,6
PIKC RVT Krāslavas teritoriālā struktūrvienība ,5071311,LAT12,24.43%,6
Krimuldas vidusskola,5131402,LAT12,52.41%,12
Krimuldas vidusskola,5131402,ANG12,47.22%,11
Krimuldas vidusskola,5131402,MAT12,40.47%,12
Brāļu Skrindu Atašienes vidusskola,5231402,ANG12,41.56%,8
Brāļu Skrindu Atašienes vidusskola,5231402,MAT12,41.11%,9
Brāļu Skrindu Atašienes vidusskola,5231402,LAT12,39.14%,9
Kuldīgas 2. vidusskola,5331303,LAT12,46.50%,26
Kuldīgas 2. vidusskola,5331303,ANG12,34.25%,19
Kuldīgas 2. vidusskola,5331303,MAT12,28.68%,26
Kuldīgas Centra vidusskola,5331305,LAT12,62.68%,34
Kuldīgas Centra vidusskola,5331305,MAT12,57.63%,34
Kuldīgas Centra vidusskola,5331305,ANG12,54.87%,32
Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,ANG12,61.61%,12
Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,LAT12,61.08%,12
Kuldīgas Mākslas un humanitāro zinību vidusskola,5331306,MAT12,45.31%,12
V. Plūdoņa Kuldīgas ģimnāzija,5351318,LAT12,56.75%,27
V. Plūdoņa Kuldīgas ģimnāzija,5351318,MAT12,54.54%,27
V. Plūdoņa Kuldīgas ģimnāzija,5351318,ANG12,53.88%,25
Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,LAT12,40.05%,80
Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,ANG12,31.59%,82
Kuldīgas Tehnoloģiju un tūrisma tehnikums,5371308,MAT12,20.96%,84
Ķeguma komercnovirziena vidusskola,5431302,ANG12,68.26%,12
Ķeguma komercnovirziena vidusskola,5431302,LAT12,50.33%,12
Ķeguma komercnovirziena vidusskola,5431302,MAT12,46.14%,12
Ķekavas vidusskola,5531403,ANG12,67.23%,20
Ķekavas vidusskola,5531403,LAT12,60.62%,20
Ķekavas vidusskola,5531403,MAT12,56.03%,20
Baložu vidusskola,5533301,ANG12,65.58%,5
Baložu vidusskola,5533301,LAT12,50.22%,5
Baložu vidusskola,5533301,MAT12,36.37%,5
Edgara Kauliņa Lielvārdes vidusskola,5631301,ANG12,63.19%,17
Edgara Kauliņa Lielvārdes vidusskola,5631301,LAT12,56.51%,17
Edgara Kauliņa Lielvārdes vidusskola,5631301,MAT12,47.83%,17
Jumpravas vidusskola,5631403,LAT12,59.49%,7
Jumpravas vidusskola,5631403,MAT12,57.23%,7
Jumpravas vidusskola,5631403,ANG12,53.50%,7
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,ANG12,58.96%,65
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,LAT12,56.82%,68
Draudzīgā aicinājuma Liepājas pilsētas 5. vidusskola,5731201,MAT12,49.39%,68
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,ANG12,61.15%,31
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,LAT12,51.79%,32
J. Čakstes Liepājas pilsētas 10. vidusskola,5731203,MAT12,43.46%,32
Liepājas 15. vidusskola,5731204,ANG12,54.74%,36
Liepājas 15. vidusskola,5731204,LAT12,48.97%,40
Liepājas 15. vidusskola,5731204,MAT12,47.39%,40
Liepājas Raiņa 6. vidusskola,5731221,ANG12,61.60%,26
Liepājas Raiņa 6. vidusskola,5731221,LAT12,55.64%,27
Liepājas Raiņa 6. vidusskola,5731221,MAT12,49.03%,27
Liepājas 7. vidusskola,5732206,MAT12,52.60%,43
Liepājas 7. vidusskola,5732206,ANG12,44.05%,42
Liepājas 7. vidusskola,5732206,LAT12,30.92%,43
Liepājas A. Puškina 2. vidusskola,5732208,ANG12,54.70%,37
Liepājas A. Puškina 2. vidusskola,5732208,MAT12,48.21%,37
Liepājas A. Puškina 2. vidusskola,5732208,LAT12,38.05%,37
Liepājas pilsētas 12. vidusskola,5732220,ANG12,50.30%,36
Liepājas pilsētas 12. vidusskola,5732220,MAT12,48.82%,35
Liepājas pilsētas 12. vidusskola,5732220,LAT12,31.70%,35
Liepājas 8. vidusskola,5733207,ANG12,58.73%,9
Liepājas 8. vidusskola,5733207,LAT12,45.73%,10
Liepājas 8. vidusskola,5733207,MAT12,34.37%,10
Liepājas vakara (maiņu) vidusskola,5741224,ANG12,38.78%,36
Liepājas vakara (maiņu) vidusskola,5741224,LAT12,33.32%,43
Liepājas vakara (maiņu) vidusskola,5741224,MAT12,22.15%,43
Liepājas Valsts 1. ģimnāzija,5761225,ANG12,67.52%,86
Liepājas Valsts 1. ģimnāzija,5761225,LAT12,58.17%,88
Liepājas Valsts 1. ģimnāzija,5761225,MAT12,49.97%,88
Liepājas Jūrniecības koledža,5771213,ANG12,45.31%,58
Liepājas Jūrniecības koledža,5771213,LAT12,29.76%,57
Liepājas Jūrniecības koledža,5771213,MAT12,28.88%,57
Liepājas mākslas vidusskola,5771218,ANG12,55.67%,35
Liepājas mākslas vidusskola,5771218,LAT12,52.10%,31
Liepājas mākslas vidusskola,5771218,MAT12,39.39%,31
"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,LAT12,41.15%,252
"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,ANG12,37.30%,257
"Profesionālās izglītības kompetences centrs ""Liepājas Valsts tehnikums""",5771230,MAT12,27.56%,256
Liepājas Universitāte,5793222,ANG12,49.44%,4
Liepājas Universitāte,5793222,MAT12,17.50%,1
Limbažu 3. vidusskola,5831308,ANG12,63.15%,24
Limbažu 3. vidusskola,5831308,LAT12,54.99%,24
Limbažu 3. vidusskola,5831308,MAT12,52.03%,24
Limbažu 3. vidusskolas struktūrvienība,5841309,ANG12,50.92%,15
Limbažu 3. vidusskolas struktūrvienība,5841309,LAT12,48.79%,25
Limbažu 3. vidusskolas struktūrvienība,5841309,MAT12,27.79%,24
Limbažu novada ģimnāzija,5851315,ANG12,73.77%,23
Limbažu novada ģimnāzija,5851315,LAT12,63.58%,23
Limbažu novada ģimnāzija,5851315,MAT12,62.91%,23
PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,ANG12,36.48%,10
PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,LAT12,28.81%,14
PIKC RVT Limbažu teritoriālā struktūrvienība,5871310,MAT12,13.79%,14
Līgatnes novada vidusskola,5931301,ANG12,42.04%,7
Līgatnes novada vidusskola,5931301,LAT12,39.08%,9
Līgatnes novada vidusskola,5931301,MAT12,28.75%,9
Līvānu 1. vidusskola,6031303,ANG12,64.86%,22
Līvānu 1. vidusskola,6031303,LAT12,63.53%,27
Līvānu 1. vidusskola,6031303,MAT12,50.86%,26
Rudzātu vidusskola,6031408,MAT12,65.44%,10
Rudzātu vidusskola,6031408,LAT12,52.50%,10
Rudzātu vidusskola,6031408,ANG12,49.38%,10
Līvānu 2. vidusskola,6033304,MAT12,55.18%,7
Līvānu 2. vidusskola,6033304,ANG12,49.59%,7
Līvānu 2. vidusskola,6033304,LAT12,43.60%,8
Līvānu novada Vakara (maiņu) vidusskola,6041305,ANG12,52.17%,2
Līvānu novada Vakara (maiņu) vidusskola,6041305,LAT12,45.66%,11
Līvānu novada Vakara (maiņu) vidusskola,6041305,MAT12,28.75%,10
Lubānas vidusskola,6131301,LAT12,61.50%,12
Lubānas vidusskola,6131301,ANG12,45.91%,12
Lubānas vidusskola,6131301,MAT12,31.83%,13
Ludzas 2. vidusskola,6233304,ANG12,54.82%,13
Ludzas 2. vidusskola,6233304,MAT12,54.03%,22
Ludzas 2. vidusskola,6233304,LAT12,37.50%,22
Istras vidusskola,6233403,MAT12,51.81%,10
Istras vidusskola,6233403,ANG12,47.04%,10
Istras vidusskola,6233403,LAT12,40.11%,10
Ludzas novada vakara vidusskola,6241306,LAT12,35.11%,10
Ludzas novada vakara vidusskola,6241306,ANG12,29.36%,10
Ludzas novada vakara vidusskola,6241306,MAT12,28.12%,11
Ludzas pilsētas ģimnāzija,6251307,MAT12,61.99%,38
Ludzas pilsētas ģimnāzija,6251307,LAT12,61.15%,38
Ludzas pilsētas ģimnāzija,6251307,ANG12,51.93%,30
Madonas pilsētas 1. vidusskola,6331314,LAT12,60.64%,26
Madonas pilsētas 1. vidusskola,6331314,ANG12,51.73%,25
Madonas pilsētas 1. vidusskola,6331314,MAT12,38.05%,26
Madonas pilsētas 2. vidusskola,6331315,ANG12,43.39%,15
Madonas pilsētas 2. vidusskola,6331315,LAT12,41.70%,15
Madonas pilsētas 2. vidusskola,6331315,MAT12,27.29%,15
Andreja Eglīša Ļaudonas vidusskola,6331413,MAT12,48.44%,4
Andreja Eglīša Ļaudonas vidusskola,6331413,LAT12,46.02%,4
Andreja Eglīša Ļaudonas vidusskola,6331413,ANG12,45.22%,3
Madonas Vakara un neklātienes vidusskola,6341316,ANG12,39.35%,8
Madonas Vakara un neklātienes vidusskola,6341316,LAT12,33.96%,14
Madonas Vakara un neklātienes vidusskola,6341316,MAT12,17.70%,16
Madonas Valsts ģimnāzija,6361317,ANG12,65.86%,49
Madonas Valsts ģimnāzija,6361317,MAT12,64.85%,50
Madonas Valsts ģimnāzija,6361317,LAT12,64.70%,50
Barkavas Profesionālā vidusskola,6371401,LAT12,37.52%,20
Barkavas Profesionālā vidusskola,6371401,MAT12,36.31%,22
Barkavas Profesionālā vidusskola,6371401,ANG12,25.78%,22
Mazsalacas vidusskola,6431301,ANG12,69.49%,15
Mazsalacas vidusskola,6431301,LAT12,58.78%,15
Mazsalacas vidusskola,6431301,MAT12,52.00%,15
Mālpils novada vidusskola,6531303,ANG12,50.84%,10
Mālpils novada vidusskola,6531303,LAT12,47.68%,14
Mālpils novada vidusskola,6531303,MAT12,35.80%,14
Mālpils Profesionālā vidusskola,6571302,LAT12,42.16%,23
Mālpils Profesionālā vidusskola,6571302,ANG12,28.58%,22
Mālpils Profesionālā vidusskola,6571302,MAT12,18.32%,22
Mārupes vidusskola,6631303,ANG12,69.42%,32
Mārupes vidusskola,6631303,LAT12,61.82%,33
Mārupes vidusskola,6631303,MAT12,60.51%,32
Naukšēnu novada vidusskola,6731402,LAT12,49.11%,9
Naukšēnu novada vidusskola,6731402,MAT12,45.42%,9
Naukšēnu novada vidusskola,6731402,ANG12,41.88%,9
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,ANG12,57.29%,14
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,LAT12,51.40%,17
Neretas Jāņa Jaunsudrabiņa vidusskola,6831402,MAT12,46.95%,17
Nīcas vidusskola,6931401,LAT12,64.32%,19
Nīcas vidusskola,6931401,ANG12,57.37%,19
Nīcas vidusskola,6931401,MAT12,55.72%,19
Ogres 1. vidusskola,7031308,ANG12,72.17%,29
Ogres 1. vidusskola,7031308,LAT12,63.62%,33
Ogres 1. vidusskola,7031308,MAT12,57.71%,33
Madlienas vidusskola,7031405,ANG12,51.11%,10
Madlienas vidusskola,7031405,LAT12,50.82%,11
Madlienas vidusskola,7031405,MAT12,35.17%,11
Suntažu vidusskola,7031418,LAT12,49.47%,14
Suntažu vidusskola,7031418,ANG12,48.74%,14
Suntažu vidusskola,7031418,MAT12,42.68%,14
Jaunogres vidusskola,7033301,MAT12,54.37%,23
Jaunogres vidusskola,7033301,ANG12,47.44%,23
Jaunogres vidusskola,7033301,LAT12,42.54%,23
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,ANG12,47.63%,25
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,MAT12,38.91%,39
OGRES 1.VIDUSSKOLAS VAKARA UN NEKLĀTIENES NODAĻA,7041308,LAT12,34.70%,39
Ogres Valsts ģimnāzija,7061314,ANG12,69.20%,51
Ogres Valsts ģimnāzija,7061314,LAT12,63.12%,56
Ogres Valsts ģimnāzija,7061314,MAT12,61.52%,56
Olaines 1. vidusskola,7131301,ANG12,70.49%,30
Olaines 1. vidusskola,7131301,LAT12,67.95%,33
Olaines 1. vidusskola,7131301,MAT12,61.80%,33
Olaines 2. vidusskola,7132302,MAT12,55.18%,21
Olaines 2. vidusskola,7132302,ANG12,50.03%,21
Olaines 2. vidusskola,7132302,LAT12,42.28%,21
Olaines Mehānikas un tehnoloģijas koledža,7171303,LAT12,38.63%,56
Olaines Mehānikas un tehnoloģijas koledža,7171303,ANG12,36.84%,60
Olaines Mehānikas un tehnoloģijas koledža,7171303,MAT12,34.77%,58
Ozolnieku vidusskola,7231402,ANG12,65.26%,15
Ozolnieku vidusskola,7231402,LAT12,54.26%,16
Ozolnieku vidusskola,7231402,MAT12,42.42%,16
Stalbes vidusskola,7331405,LAT12,45.07%,3
Stalbes vidusskola,7331405,ANG12,31.47%,3
Stalbes vidusskola,7331405,MAT12,26.87%,3
Pāvilostas vidusskola,7431301,LAT12,60.51%,12
Pāvilostas vidusskola,7431301,MAT12,53.23%,12
Pāvilostas vidusskola,7431301,ANG12,43.99%,12
Pļaviņu novada ģimnāzija,7551302,ANG12,66.52%,11
Pļaviņu novada ģimnāzija,7551302,LAT12,48.36%,18
Pļaviņu novada ģimnāzija,7551302,MAT12,35.87%,18
Preiļu 2. vidusskola,7633305,ANG12,50.17%,12
Preiļu 2. vidusskola,7633305,LAT12,48.06%,17
Preiļu 2. vidusskola,7633305,MAT12,42.31%,17
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,ANG12,45.02%,3
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,LAT12,39.07%,9
Preiļu novada Vakara (maiņu) un neklātienes vidusskola,7643306,MAT12,31.53%,9
Preiļu Valsts ģimnāzija,7661307,LAT12,67.84%,60
Preiļu Valsts ģimnāzija,7661307,ANG12,60.58%,51
Preiļu Valsts ģimnāzija,7661307,MAT12,60.36%,59
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,LAT12,27.55%,10
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,MAT12,20.23%,11
"Valsts sabiedrība ar ierobežotu atbildību ""Rīgas Tūrisma un radošās industrijas tehnikums""  Preiļi",7671300,ANG12,15.87%,10
Priekules vidusskola,7731304,LAT12,60.87%,14
Priekules vidusskola,7731304,ANG12,57.94%,13
Priekules vidusskola,7731304,MAT12,44.69%,14
Priekuļu vidusskola,7831404,ANG12,55.28%,8
Priekuļu vidusskola,7831404,LAT12,52.95%,10
Priekuļu vidusskola,7831404,MAT12,45.56%,10
Priekuļu tehnikums,7871408,LAT12,37.84%,144
Priekuļu tehnikums,7871408,ANG12,37.28%,149
Priekuļu tehnikums,7871408,MAT12,25.77%,148
Raunas vidusskola,7931403,LAT12,44.46%,4
Raunas vidusskola,7931403,ANG12,30.39%,4
Raunas vidusskola,7931403,MAT12,30.00%,4
Dricānu vidusskola,8031406,MAT12,50.79%,19
Dricānu vidusskola,8031406,ANG12,43.13%,12
Dricānu vidusskola,8031406,LAT12,39.86%,19
Lūcijas Rancānes Makašānu Amatu vidusskola,8031418,LAT12,28.69%,10
Lūcijas Rancānes Makašānu Amatu vidusskola,8031418,MAT12,23.31%,10
Nautrēnu vidusskola,8031424,ANG12,59.30%,16
Nautrēnu vidusskola,8031424,MAT12,45.91%,22
Nautrēnu vidusskola,8031424,LAT12,45.66%,22
Tiskādu vidusskola,8032432,MAT12,45.42%,12
Tiskādu vidusskola,8032432,LAT12,28.50%,12
Tiskādu vidusskola,8032432,ANG12,25.04%,12
Kaunatas vidusskola,8033412,ANG12,43.50%,7
Kaunatas vidusskola,8033412,LAT12,41.47%,11
Kaunatas vidusskola,8033412,MAT12,36.19%,11
Maltas vidusskola,8033420,LAT12,48.35%,31
Maltas vidusskola,8033420,ANG12,44.73%,24
Maltas vidusskola,8033420,MAT12,38.61%,31
Rēzeknes 1. vidusskola,8131203,LAT12,71.79%,31
Rēzeknes 1. vidusskola,8131203,MAT12,69.92%,31
Rēzeknes 1. vidusskola,8131203,ANG12,68.78%,25
Rēzeknes 5. vidusskola,8131208,ANG12,64.69%,26
Rēzeknes 5. vidusskola,8131208,LAT12,60.36%,28
Rēzeknes 5. vidusskola,8131208,MAT12,59.40%,28
Rēzeknes Katoļu vidusskola,8131210,LAT12,63.63%,12
Rēzeknes Katoļu vidusskola,8131210,ANG12,54.10%,12
Rēzeknes Katoļu vidusskola,8131210,MAT12,51.87%,12
Rēzeknes 2. vidusskola,8132205,ANG12,48.81%,37
Rēzeknes 2. vidusskola,8132205,MAT12,42.38%,37
Rēzeknes 2. vidusskola,8132205,LAT12,41.72%,37
Rēzeknes 4. vidusskola,8132207,MAT12,38.94%,26
Rēzeknes 4. vidusskola,8132207,ANG12,29.59%,17
Rēzeknes 4. vidusskola,8132207,LAT12,28.89%,26
Rēzeknes 6. vidusskola,8132209,MAT12,64.65%,16
Rēzeknes 6. vidusskola,8132209,ANG12,41.05%,16
Rēzeknes 6. vidusskola,8132209,LAT12,36.33%,16
Rēzeknes 3. vidusskola,8133206,MAT12,60.50%,10
Rēzeknes 3. vidusskola,8133206,LAT12,49.54%,10
Rēzeknes 3. vidusskola,8133206,ANG12,48.32%,10
Rēzeknes vakara vidusskola,8141213,LAT12,32.38%,41
Rēzeknes vakara vidusskola,8141213,MAT12,31.42%,41
Rēzeknes vakara vidusskola,8141213,ANG12,26.60%,30
Rēzeknes valsts poļu ģimnāzija,8154215,ANG12,69.83%,19
Rēzeknes valsts poļu ģimnāzija,8154215,MAT12,64.31%,20
Rēzeknes valsts poļu ģimnāzija,8154215,LAT12,59.06%,20
Rēzeknes Valsts ģimnāzija,8161214,LAT12,64.69%,65
Rēzeknes Valsts ģimnāzija,8161214,ANG12,63.44%,54
Rēzeknes Valsts ģimnāzija,8161214,MAT12,51.97%,65
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,LAT12,75.68%,5
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,ANG12,52.79%,6
Jāņa Ivanova Rēzeknes mūzikas vidusskola,8171201,MAT12,52.37%,5
Rēzeknes Mākslas un dizaina vidusskola,8171212,LAT12,46.59%,29
Rēzeknes Mākslas un dizaina vidusskola,8171212,ANG12,44.01%,29
Rēzeknes Mākslas un dizaina vidusskola,8171212,MAT12,41.92%,26
Rēzeknes tehnikums,8171218,LAT12,37.41%,110
Rēzeknes tehnikums,8171218,ANG12,26.57%,108
Rēzeknes tehnikums,8171218,MAT12,21.38%,109
Viļānu 41. arodvidusskola,8171302,MAT12,35.30%,31
Viļānu 41. arodvidusskola,8171302,LAT12,30.64%,30
Viļānu 41. arodvidusskola,8171302,ANG12,25.46%,30
Riebiņu vidusskola,8231404,ANG12,41.14%,18
Riebiņu vidusskola,8231404,MAT12,37.36%,32
Riebiņu vidusskola,8231404,LAT12,29.26%,32
Rīgas Centra humanitārā vidusskola,8331117,ANG12,84.81%,51
Rīgas Centra humanitārā vidusskola,8331117,LAT12,70.90%,51
Rīgas Centra humanitārā vidusskola,8331117,MAT12,63.26%,51
Rīgas Natālijas Draudziņas vidusskola ,8331137,ANG12,69.06%,40
Rīgas Natālijas Draudziņas vidusskola ,8331137,LAT12,61.91%,42
Rīgas Natālijas Draudziņas vidusskola ,8331137,MAT12,54.54%,42
Rīgas 22. vidusskola,8332109,ANG12,54.14%,42
Rīgas 22. vidusskola,8332109,MAT12,53.33%,42
Rīgas 22. vidusskola,8332109,LAT12,36.68%,42
Rīgas 40. vidusskola,8332111,ANG12,76.72%,55
Rīgas 40. vidusskola,8332111,MAT12,64.50%,53
Rīgas 40. vidusskola,8332111,LAT12,45.99%,54
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,ANG12,56.85%,68
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,LAT12,44.70%,81
Rīgas Raiņa 8. vakara (maiņu) vidusskola,8341122,MAT12,29.22%,79
Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,ANG12,64.99%,23
Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,MAT12,47.68%,24
Privātā Rīgas Tehnolingvistiskā ģimnāzija,8352106,LAT12,35.03%,26
Rīgas Valsts 1. ģimnāzija,8361130,MAT12,90.32%,226
Rīgas Valsts 1. ģimnāzija,8361130,ANG12,86.75%,229
Rīgas Valsts 1. ģimnāzija,8361130,LAT12,74.31%,227
Rīgas Valsts 3. ģimnāzija,8361131,ANG12,78.75%,178
Rīgas Valsts 3. ģimnāzija,8361131,MAT12,75.47%,183
Rīgas Valsts 3. ģimnāzija,8361131,LAT12,68.66%,183
"Privātā Profesionālā vidusskola ""SIGMA""",8371105,ANG12,52.35%,4
"Privātā Profesionālā vidusskola ""SIGMA""",8371105,LAT12,22.72%,3
"Privātā Profesionālā vidusskola ""SIGMA""",8371105,MAT12,13.59%,4
Latvijas Universitāte,8391101,ANG12,60.22%,29
Latvijas Universitāte,8391101,MAT12,58.10%,25
Latvijas Universitāte,8391101,LAT12,46.52%,27
Iļģuciema vidusskola,8431106,ANG12,69.46%,17
Iļģuciema vidusskola,8431106,LAT12,53.06%,18
