Nosaukums,Skolas kods,Kopvērtējums,Skaits,Priekšmets
Rīgas 51. vidusskola,8532117,58.70%,43,ANG9
Rīgas 65. vidusskola,8532120,59.41%,32,ANG9
Rīgas 72. vidusskola,8532121,61.95%,87,ANG9
Rīgas 75. vidusskola,8532122,59.31%,52,ANG9
Rīgas 86. vidusskola,8532123,74.42%,48,ANG9
Rīgas 88. vidusskola,8532124,63.81%,90,ANG9
J.G.Herdera Rīgas Grīziņkalna vidusskola,8532134,53.05%,20,ANG9
Rīgas Sergeja Žoltoka vidusskola,8532141,58.19%,27,ANG9
Rīgas Ķengaraga vidusskola,8532146,65.14%,58,ANG9
Rīgas 1. vidusskola,8533111,59.93%,15,ANG9
Rīgas 15. vidusskola,8533113,49.64%,22,ANG9
Rīgas 92. vidusskola,8533126,53.91%,54,ANG9
Rīgas Ukraiņu vidusskola,8534145,71.82%,11,ANG9
Rīgas Tālmācības vidusskola,8541105,67.11%,27,ANG9
"Tālmācības vidusskola ""Rīgas Komercskola""",8541160,77.14%,7,ANG9
Rīgas vakara ģimnāzija,8543147,46.00%,13,ANG9
Rīgas 1. Tālmācības vidusskola,8543150,74.82%,11,ANG9
Rīgas pilsētas Pļavnieku ģimnāzija,8551138,79.56%,18,ANG9
Rīgas Lastādijas internātpamatskola,8583135,43.46%,13,ANG9
Mežciema pamatskola,8621104,78.24%,29,ANG9
"Pamatskola ""Harmonija""",8621105,76.75%,4,ANG9
Rīgas Ezerkrastu pamatskola,8621131,73.60%,5,ANG9
"privātā vidusskola ""Norma""",8631109,70.89%,9,ANG9
Rīgas 45. vidusskola,8631117,77.79%,33,ANG9
Rīgas 49. vidusskola,8631118,81.72%,61,ANG9
Rīgas 64. vidusskola,8631122,77.34%,65,ANG9
Rīgas 84. vidusskola,8631125,77.68%,41,ANG9
Rīgas 85. vidusskola,8631126,77.20%,15,ANG9
Rīgas Hanzas vidusskola,8631133,75.97%,59,ANG9
Rīgas Juglas vidusskola,8631136,81.09%,47,ANG9
Rīgas Teikas vidusskola,8631143,83.54%,89,ANG9
Rīgas 60. vidusskola,8632120,68.39%,46,ANG9
Rīgas 63. vidusskola,8632121,55.90%,51,ANG9
Rīgas 74. vidusskola,8632123,71.26%,34,ANG9
Rīgas Purvciema vidusskola,8632139,74.18%,96,ANG9
Š. Dubnova Rīgas Ebreju vidusskola,8632145,71.71%,14,ANG9
Biznesa un vadības privātvidusskola,8633102,91.00%,1,ANG9
"Privātā vidusskola ""Klasika""",8633107,76.23%,13,ANG9
Rīgas 21. vidusskola,8633113,68.44%,39,ANG9
Rīgas 80. vidusskola,8633124,63.53%,60,ANG9
Rīgas 89. vidusskola,8633127,72.48%,42,ANG9
Rīgas Itas Kozakēvičas Poļu vidusskola,8634135,73.06%,18,ANG9
Rīgas 9. vakara (maiņu) vidusskola,8643128,57.27%,11,ANG9
Rīgas Centra krievu privātģimnāzija,8652130,44.00%,1,ANG9
Rīgas Klasiskā ģimnāzija,8652137,78.97%,118,ANG9
Strazdumuižas internātvidusskola - attīstības centrs vājredzīgiem un neredzīgiem bērniem,8681144,79.00%,1,ANG9
Friča Brīvzemnieka pamatskola,8721101,69.20%,15,ANG9
Rīgas Igauņu pamatskola,8721129,82.25%,4,ANG9
Rīgas Pārdaugavas pamatskola,8722120,54.33%,15,ANG9
Rīgas 47. vidusskola,8731105,75.96%,27,ANG9
Rīgas 94. vidusskola,8731110,80.85%,27,ANG9
Rīgas 53. vidusskola,8732107,62.69%,16,ANG9
Rīgas 61. vidusskola,8732108,49.35%,26,ANG9
Rīgas 95. vidusskola,8732111,61.11%,76,ANG9
"Rīgas vispārizglītojošā privātā vidusskola ""Evrika""",8733123,74.43%,7,ANG9
Rīgas 14. vakara (maiņu) vidusskola,8743103,69.33%,3,ANG9
Rīgas 14. vakara (maiņu) vidusskola (Iļģuciema cietums),8743114,67.00%,1,ANG9
Rīgas Angļu ģimnāzija,8751112,86.49%,55,ANG9
Rīgas Katoļu ģimnāzija,8751118,68.00%,4,ANG9
Ziemeļvalstu ģimnāzija,8751128,85.00%,44,ANG9
Rīgas Zolitūdes ģimnāzija,8752125,73.85%,121,ANG9
Āgenskalna Valsts ģimnāzija,8761103,84.96%,83,ANG9
Rīgas Mūzikas internātvidusskola,8781118,56.30%,10,ANG9
Rīgas 7. pamatskola,8821112,87.50%,2,ANG9
Rīgas 28. vidusskola,8831107,72.92%,13,ANG9
Rīgas 31. vidusskola,8831109,78.52%,27,ANG9
Rīgas Jāņa Poruka vidusskola,8831113,81.75%,4,ANG9
Rīgas Kultūru vidusskola,8831114,82.52%,21,ANG9
Puškina licejs,8832103,64.07%,46,ANG9
Rīgas 10. vidusskola,8832104,77.22%,72,ANG9
Rīgas 29. vidusskola,8832108,51.21%,14,ANG9
Rīgas 46. vidusskola,8832111,57.22%,32,ANG9
Rīgas Rīnūžu vidusskola,8832117,63.24%,46,ANG9
Rīgas 13. vidusskola,8833105,70.75%,44,ANG9
Rīgas 37. vidusskola,8833110,63.38%,16,ANG9
Rīgas 18. vakara (maiņu) vidusskola,8843106,55.06%,16,ANG9
Rīgas Valsts 2. ģimnāzija,8861121,91.33%,90,ANG9
Rīgas 66. speciālā vidusskola,8883112,78.38%,13,ANG9
Rojas vidusskola,8931402,69.30%,23,ANG9
Zaķumuižas pamatskola,9021303,65.60%,10,ANG9
Ropažu vidusskola,9031301,75.44%,9,ANG9
Rucavas pamatskola,9121401,70.25%,4,ANG9
Sikšņu pamatskola,9121402,67.17%,6,ANG9
Rugāju novada Eglaines pamatskola,9221401,69.75%,4,ANG9
Rugāju novada vidusskola,9231402,70.45%,11,ANG9
Pilsrundāles vidusskola,9331401,77.18%,11,ANG9
Rūjienas vidusskola,9431304,71.77%,35,ANG9
Krišjāņa Valdemāra Ainažu pamatskola,9521301,82.60%,5,ANG9
Salacgrīvas vidusskola,9531303,76.36%,25,ANG9
Liepupes vidusskola,9531402,77.45%,11,ANG9
Biržu pamatskola,9621403,59.17%,6,ANG9
Salas vidusskola,9631404,79.67%,12,ANG9
Biržu internātpamatskola,9681402,57.40%,10,ANG9
"Salaspils novada pašvaldības iestāde ""Salaspils 1. vidusskola""",9731301,72.26%,42,ANG9
"Salaspils novada pašvaldības iestāde ""Salaspils 2. vidusskola""",9733302,61.18%,51,ANG9
Saldus pamatskola,9821319,68.90%,31,ANG9
Saldus novada pašvaldības Jaunlutriņu pamatskola,9821407,48.00%,7,ANG9
Saldus novada pašvaldības Kursīšu pamatskola,9821409,58.14%,7,ANG9
Saldus novada pašvaldības Lutriņu pamatskola,9821411,52.82%,11,ANG9
Saldus novada pašvaldības Nīgrandes pamatskola,9821412,65.56%,9,ANG9
Saldus novada pašvaldības Pampāļu pamatskola,9821413,59.50%,8,ANG9
Saldus novada pašvaldības Rubas pamatskola,9821414,70.70%,10,ANG9
Saldus novada pašvaldības Striķu pamatskola,9821417,68.00%,4,ANG9
Saldus novada pašvaldības Zirņu pamatskola,9821418,57.50%,8,ANG9
Saldus 2. vidusskola,9831302,75.20%,30,ANG9
Saldus 1.vidusskola,9831303,72.25%,36,ANG9
Saldus novada pašvaldības Druvas vidusskola,9831405,72.96%,23,ANG9
Saldus novada pašvaldības Ezeres vidusskola,9831406,59.80%,15,ANG9
Saldus novada pašvaldības Kalnu vidusskola,9831408,63.33%,12,ANG9
Saldus Vakara vidusskola,9841322,69.67%,3,ANG9
Saldus novada pašvaldības Cieceres internātpamatskola,9881304,50.50%,10,ANG9
Saulkrastu vidusskola,9931301,67.00%,10,ANG9
Zvejniekciema vidusskola,9931302,83.79%,14,ANG9
Sējas pamatskola,10021303,57.50%,4,ANG9
Murjāņu sporta ģimnāzija,10051301,70.62%,26,ANG9
Siguldas 1. pamatskola,10121304,81.90%,31,ANG9
Allažu pamatskola,10121402,79.31%,13,ANG9
Mores pamatskola,10121403,48.40%,5,ANG9
Siguldas pilsētas vidusskola,10133311,69.11%,18,ANG9
Siguldas Valsts ģimnāzija,10161310,86.95%,59,ANG9
Andreja Upīša Skrīveru vidusskola,10231401,80.35%,20,ANG9
Nīkrāces pamatskola,10321403,63.00%,3,ANG9
Oskara Kalpaka Rudbāržu pamatskola,10321404,53.90%,10,ANG9
Skrundas vidusskola,10331307,67.28%,32,ANG9
Bilskas pamatskola,10421401,64.17%,6,ANG9
Blomes pamatskola,10421403,54.00%,4,ANG9
Grundzāles pamatskola,10421405,77.29%,7,ANG9
Palsmanes pamatskola,10421407,55.29%,7,ANG9
Smiltenes Centra vidusskola,10431309,66.22%,27,ANG9
Smiltenes ģimnāzija,10451310,74.37%,43,ANG9
Stopiņu pamatskola,10522302,63.90%,10,ANG9
Ulbrokas vidusskola,10531303,76.36%,55,ANG9
Upesleju internātpamatskola - rehabilitācijas centrs,10581304,58.00%,1,ANG9
Strenču novada vidusskola,10633303,53.95%,19,ANG9
"Laucienes pamatskolas filiāle ""Dursupes pamatskola""",10721301,75.88%,8,ANG9
Stendes pamatskola,10721313,75.80%,10,ANG9
Talsu pamatskola,10721319,80.33%,15,ANG9
"filiāle ""Laidzes pamatskola""",10721402,67.00%,5,ANG9
Laucienes pamatskola,10721404,62.38%,8,ANG9
Pastendes pamatskola,10721408,70.25%,8,ANG9
Pūņu pamatskola,10721410,74.54%,13,ANG9
Virbu pamatskola,10721427,65.83%,6,ANG9
Vandzenes pamatskola,10721428,64.43%,7,ANG9
Sabiles vidusskola,10731311,64.00%,11,ANG9
Talsu 2. vidusskola,10731316,78.31%,48,ANG9
Talsu Kristīgā vidusskola,10731317,85.56%,16,ANG9
Valdemārpils vidusskola,10731324,67.08%,25,ANG9
Talsu novada Vakara un neklātienes vidusskola,10741318,54.93%,15,ANG9
Talsu Valsts ģimnāzija,10761321,77.60%,30,ANG9
Annas Brigaderes pamatskola,10821401,75.89%,9,ANG9
Augstkalnes vidusskola,10831402,66.67%,9,ANG9
Tukuma 2. pamatskola,10921312,77.41%,27,ANG9
Tukuma E. Birznieka-Upīša 1. pamatskola,10921316,69.68%,22,ANG9
Džūkstes pamatskola,10921402,54.13%,16,ANG9
Pūres pamatskola,10921409,61.50%,14,ANG9
Tukuma 2. vidusskola,10931313,75.49%,43,ANG9
Irlavas vidusskola,10931404,58.58%,12,ANG9
Tumes vidusskola,10931420,69.56%,18,ANG9
Zemgales vidusskola (Tukuma novads),10931421,65.80%,15,ANG9
Tukuma Vakara un neklātienes vidusskola,10941319,55.83%,6,ANG9
Tukuma Raiņa ģimnāzija,10951317,84.69%,32,ANG9
Vaiņodes vidusskola,11031402,57.00%,21,ANG9
Vaiņodes internātpamatskola,11081401,48.57%,7,ANG9
Valkas pamatskola,11121305,72.25%,8,ANG9
Ērģemes pamatskola,11121401,67.67%,3,ANG9
Kārķu pamatskola,11121402,64.75%,4,ANG9
Ozolu pamatskola,11121403,57.00%,5,ANG9
Vijciema pamatskola,11121406,57.50%,2,ANG9
Valkas ģimnāzija,11151304,77.91%,34,ANG9
Jaunburtnieku pamatskola,11221402,57.11%,9,ANG9
Jura Neikena Dikļu pamatskola,11221405,44.00%,2,ANG9
Kocēnu pamatskola,11221406,59.00%,8,ANG9
Rubenes pamatskola,11221407,79.00%,8,ANG9
Valmieras 5. vidusskola,11331204,67.50%,24,ANG9
Valmieras Viestura vidusskola,11331213,82.33%,52,ANG9
Valmieras 2. vidusskola,11333201,57.48%,25,ANG9
Valmieras 2.vidusskolas filiāle,11341202,39.50%,4,ANG9
Valmieras Pārgaujas ģimnāzija,11351207,75.81%,73,ANG9
Valmieras Valsts ģimnāzija,11361212,81.55%,64,ANG9
Murmastienes pamatskola,11421401,65.50%,4,ANG9
Varakļānu novada pašvaldības Stirnienes pamatskola,11421402,79.00%,1,ANG9
Varakļānu vidusskola,11431303,53.71%,7,ANG9
Vārkavas vidusskola,11531404,56.83%,6,ANG9
Dzērbenes vispārizglītojošā un mūzikas pamatskola,11621402,57.50%,2,ANG9
Inešu pamatskola,11621403,85.33%,3,ANG9
Taurenes pamatskola,11621404,73.00%,1,ANG9
Vecpiebalgas vidusskola,11631405,60.60%,20,ANG9
Stelpes pamatskola,11721404,51.33%,3,ANG9
Misas vidusskola,11731402,61.83%,6,ANG9
Skaistkalnes vidusskola,11731403,69.73%,11,ANG9
Vecumnieku novada Domes Valles vidusskola,11731406,78.00%,7,ANG9
Vecumnieku vidusskola,11731407,75.33%,24,ANG9
Ances pamatskola,11821401,75.00%,3,ANG9
Jūrkalnes pamatskola,11821402,18.50%,4,ANG9
Popes pamatskola,11821404,44.86%,7,ANG9
Puzes pamatskola,11821405,74.50%,10,ANG9
Tārgales pamatskola,11821407,66.25%,8,ANG9
Užavas pamatskola,11821410,76.63%,8,ANG9
Zlēku pamatskola,11821412,58.00%,1,ANG9
Zūru pamatskola,11821413,76.70%,10,ANG9
Piltenes vidusskola,11831303,60.60%,5,ANG9
Ugāles vidusskola,11831408,67.60%,15,ANG9
Ventspils 1. pamatskola,11921204,79.20%,20,ANG9
Ventspils 2. pamatskola,11921205,75.05%,19,ANG9
Ventspils 4. vidusskola,11931208,82.36%,61,ANG9
Ventspils 5. vidusskola,11931209,77.00%,15,ANG9
Ventspils 2. vidusskola,11933206,68.27%,51,ANG9
Ventspils 3. vidusskola,11933207,62.37%,30,ANG9
Ventspils 6. vidusskola,11933210,73.98%,57,ANG9
Ventspils vakara vidusskola,11943214,39.67%,9,ANG9
Ventspils Valsts 1. ģimnāzija,11951203,87.00%,31,ANG9
Rites pamatskola,12021401,65.33%,3,ANG9
Viesītes vidusskola,12031303,62.93%,15,ANG9
Upītes pamatskola,12121416,49.00%,1,ANG9
Viduču pamatskola,12121418,66.25%,4,ANG9
Žīguru pamatskola,12121423,74.57%,7,ANG9
Rekavas vidusskola,12131411,67.89%,9,ANG9
Viļakas Valsts ģimnāzija,12161321,80.50%,8,ANG9
Dekšāru pamatskola,12221401,73.60%,5,ANG9
Viļānu vidusskola,12233303,68.60%,20,ANG9
Zilupes vidusskola,12333303,55.39%,31,ANG9
Zilupes arodvidusskola,12373302,39.09%,11,ANG9
Mērsraga vidusskola,12631401,83.00%,16,ANG9
Priežmalas pamatskola,121405,49.27%,5,LAT9
Rīgas un visas Latvijas Metropolīta Aleksandra (Kudrjašova) Grāveru pamatskola,121406,53.09%,5,LAT9
Šķeltovas pamatskola,121407,58.18%,6,LAT9
Aglonas vidusskola,131403,69.92%,11,LAT9
Aglonas Katoļu ģimnāzija,151402,87.27%,2,LAT9
Aglonas internātvidusskola,181401,57.65%,12,LAT9
Aizkraukles Vakara (maiņu) vidusskola,241306,44.60%,17,LAT9
Aizkraukles novada ģimnāzija,251303,66.66%,52,LAT9
Aizputes pagasta pamatskola,321405,57.93%,11,LAT9
Dzērves pamatskola,321409,58.83%,14,LAT9
Kalvenes pamatskola,321410,66.55%,5,LAT9
Māteru Jura Kazdangas pamatskola,321413,64.69%,13,LAT9
Aizputes vidusskola,331306,63.48%,46,LAT9
Aizputes novada Neklātienes vidusskolas Aizputes konsult. punkts,341302,54.55%,1,LAT9
Asares pamatskola,421402,59.66%,8,LAT9
Aknīstes vidusskola,431301,63.58%,15,LAT9
Ozolmuižas pamatskola,521402,47.27%,5,LAT9
Alojas Ausekļa vidusskola,531301,67.66%,19,LAT9
Staiceles vidusskola,531304,62.50%,16,LAT9
Alsungas vidusskola,631301,66.92%,18,LAT9
Bejas pamatskola,721408,59.82%,5,LAT9
Ilzenes pamatskola,721410,56.14%,4,LAT9
Jaunlaicenes pamatskola,721411,59.82%,5,LAT9
Malienas pamatskola,721414,68.18%,3,LAT9
Mālupes pamatskola,721415,66.52%,6,LAT9
Mārkalnes pamatskola,721416,51.43%,7,LAT9
Pededzes pamatskola,721417,66.48%,8,LAT9
Strautiņu pamatskola,721419,69.43%,8,LAT9
Ziemeru pamatskola,721422,60.34%,8,LAT9
Jaunannas Mūzikas un mākslas pamatskola,721429,58.64%,2,LAT9
Alūksnes novada vidusskola,731323,54.22%,14,LAT9
Liepnas vidusskola,731413,58.79%,6,LAT9
Ernsta Glika Alūksnes Valsts ģimnāzija,761309,72.48%,56,LAT9
Smiltenes tehnikums Alsviķu teritoriālā struktūrvienība,771401,60.00%,5,LAT9
Liepnas internātpamatskola,781412,53.07%,8,LAT9
Amatas pamatskola,821402,68.18%,9,LAT9
Sērmūkšu pamatskola,821406,85.00%,2,LAT9
Skujenes pamatskola,821407,63.33%,3,LAT9
Zaubes pamatskola,821409,74.55%,1,LAT9
Nītaures vidusskola,831405,70.53%,12,LAT9
Drabešu internātpamatskola,881403,49.09%,7,LAT9
Vidagas Sikšņu pamatskola,921404,72.27%,6,LAT9
Trapenes pamatskola,921405,65.27%,5,LAT9
Dāvja Ozoliņa Apes vidusskola,931301,58.30%,15,LAT9
Ojāra Vācieša Gaujienas vidusskola,931403,59.77%,8,LAT9
Gaujienas internātpamatskola,981402,59.43%,8,LAT9
Auces vidusskola,1031301,59.28%,48,LAT9
Bēnes vidusskola,1031402,59.90%,18,LAT9
Privātā vidusskola Ādažu Brīvā Valdorfa skola,1131302,74.03%,23,LAT9
Ādažu vidusskola,1133301,64.74%,61,LAT9
Babītes vidusskola,1231402,63.43%,58,LAT9
Baldones Mūzikas pamatskola,1321301,82.73%,7,LAT9
Baldones vidusskola,1331302,62.55%,30,LAT9
Baltinavas vidusskola,1431302,62.73%,10,LAT9
Bērzpils vidusskolas Krišjāņu filiāle,1521309,74.55%,3,LAT9
Briežuciema pamatskola,1521408,69.87%,7,LAT9
Stacijas pamatskola,1521413,70.91%,3,LAT9
Balvu profesionālā un vispārizglītojošā vidusskola,1531302,49.09%,14,LAT9
Bērzpils vidusskola,1531407,65.11%,8,LAT9
Tilžas vidusskola,1531415,54.45%,10,LAT9
Balvu Valsts ģimnāzija,1561305,71.09%,54,LAT9
Tilžas internātpamatskola,1581414,63.64%,6,LAT9
Bauskas pilsētas pamatskola,1621304,68.31%,21,LAT9
Codes pamatskola,1621408,54.14%,9,LAT9
Griķu pamatskola,1621410,62.22%,9,LAT9
Jaunsaules pamatskola,1621411,57.27%,4,LAT9
Mežgaļu pamatskola,1621413,77.64%,5,LAT9
Mežotnes pamatskola,1621415,64.91%,10,LAT9
Ozolaines pamatskola,1621416,79.32%,8,LAT9
Vecsaules pamatskola,1621420,69.70%,6,LAT9
Bauskas 2. vidusskola,1631302,69.55%,34,LAT9
Īslīces vidusskola,1631411,61.78%,22,LAT9
Uzvaras vidusskola,1631419,56.94%,11,LAT9
Bauskas Valsts ģimnāzija,1661301,68.70%,56,LAT9
Mežotnes internātvidusskola,1681414,41.82%,3,LAT9
J. Endzelīna Kauguru pamatskola,1721402,57.64%,10,LAT9
Trikātas pamatskola,1721403,64.09%,6,LAT9
Blīdenes pamatskola,1821401,56.82%,6,LAT9
Gaiķu pamatskola,1821403,68.33%,6,LAT9
Remtes pamatskola,1821404,75.09%,5,LAT9
Brocēnu vidusskola,1831302,61.15%,30,LAT9
Ēveles pamatskola,1921402,75.00%,2,LAT9
Matīšu pamatskola,1921403,67.17%,9,LAT9
Rencēnu pamatskola,1921404,66.27%,10,LAT9
Burtnieku Ausekļa vidusskola,1931401,64.91%,5,LAT9
Carnikavas pamatskola,2021301,68.07%,17,LAT9
Cesvaines vidusskola,2131302,63.77%,28,LAT9
Cesvaines internātpamatskola,2181301,53.18%,4,LAT9
Cēsu 1. pamatskola,2221303,66.21%,29,LAT9
Cēsu 2. pamatskola,2221304,64.65%,27,LAT9
Līvu pamatskola,2221415,48.64%,6,LAT9
Rāmuļu pamatskola,2221416,63.45%,5,LAT9
Cēsu Pilsētas vidusskola,2231306,49.69%,38,LAT9
Cēsu 2. vakara (maiņu) vidusskola,2243305,60.91%,2,LAT9
Cēsu Valsts ģimnāzija,2261313,77.39%,48,LAT9
Draudzīgā Aicinājuma Cēsu Valsts ģimnāzija,2261314,69.92%,43,LAT9
Cēsu internātpamatskola - rehabilitācijas centrs,2281312,57.92%,7,LAT9
Pušmucovas pamatskola,2321405,66.59%,4,LAT9
Ciblas vidusskola,2331402,68.98%,8,LAT9
Andrupenes pamatskola,2421402,56.62%,7,LAT9
Andzeļu pamatskola,2421403,62.12%,6,LAT9
Šķaunes pamatskola,2421410,66.36%,6,LAT9
Asūnes pamatskola,2423404,69.22%,7,LAT9
Dagdas vidusskola,2431306,67.82%,40,LAT9
Ezernieku vidusskola,2431407,67.01%,21,LAT9
Kalupes pamatskola,2521404,61.64%,5,LAT9
Medumu pamatskola,2521408,55.66%,9,LAT9
Naujenes pamatskola,2521409,72.91%,10,LAT9
Nīcgales pamatskola,2521410,66.49%,7,LAT9
Skrudalienas pamatskola,2521414,51.59%,4,LAT9
Lāču pamatskola,2523405,71.97%,6,LAT9
Sventes vidusskola,2531415,59.50%,11,LAT9
Vaboles vidusskola,2531418,59.88%,15,LAT9
Špoģu vidusskola,2533416,63.83%,23,LAT9
Daugavpils Vienības pamatskola,2621227,58.67%,28,LAT9
Daugavpils Saskaņas pamatskola,2623224,78.81%,23,LAT9
Daugavpils 12. vidusskola,2631205,63.02%,50,LAT9
Daugavpils Valsts ģimnāzija,2661226,70.50%,29,LAT9
Daugavpils Būvniecības tehnikums,2671216,47.27%,7,LAT9
Daugavpils logopēdiskā internātpamatskola - attīstības centrs,2683218,49.27%,5,LAT9
Dobeles Kristīgā pamatskola,2721310,52.31%,24,LAT9
Annenieku pamatskola,2721401,52.60%,7,LAT9
Bikstu pamatskola,2721406,56.73%,5,LAT9
Gardenes pamatskola,2721413,45.86%,9,LAT9
Mežinieku pamatskola,2721418,66.53%,11,LAT9
Penkules pamatskola,2721420,67.17%,9,LAT9
Dobeles 1. vidusskola,2731307,52.96%,46,LAT9
Dobeles Valsts ģimnāzija,2761312,70.08%,56,LAT9
Dobeles Amatniecības un vispārizglītojošā vidusskola,2771322,42.87%,13,LAT9
Kolkas pamatskola,2821402,67.35%,12,LAT9
Dundagas vidusskola,2831401,66.98%,25,LAT9
A. Spāģa Dunalkas pamatskola,2921401,71.82%,1,LAT9
Ata Kronvalda Durbes vidusskola,2931302,79.94%,14,LAT9
Lapmežciema pamatskola,3021402,74.85%,12,LAT9
Smārdes pamatskola,3021404,52.65%,12,LAT9
Engures vidusskola,3031401,66.07%,28,LAT9
Jāņa Zālīša Sausnējas pamatskola,3121403,54.91%,5,LAT9
Ērgļu vidusskola,3131402,69.57%,17,LAT9
"Priekuļu tehnikums, izglītības programmu īstenošanas vieta Ērgļi",3171401,56.57%,9,LAT9
Garkalnes Mākslu un vispārizglītojošā vidusskola,3231303,74.77%,8,LAT9
Berģu Mūzikas un mākslas pamatskola,3281401,73.64%,5,LAT9
Bārtas pamatskola,3321401,53.51%,7,LAT9
Gaviezes pamatskola,3321402,67.73%,4,LAT9
Kapsēdes pamatskola,3321406,53.80%,11,LAT9
Grobiņas ģimnāzija,3351303,58.35%,63,LAT9
Daukstes pamatskola,3421401,53.98%,8,LAT9
Druvienas pamatskola,3421402,67.82%,5,LAT9
Galgauskas pamatskola,3421403,69.48%,7,LAT9
K. Valdemāra pamatskola,3421412,66.36%,3,LAT9
Litenes pamatskola,3421414,63.18%,4,LAT9
Rankas pamatskola,3421418,67.40%,7,LAT9
Stāķu pamatskola,3421421,54.83%,22,LAT9
Stāmerienas pamatskola,3421422,59.39%,3,LAT9
Tirzas pamatskola,3421424,68.70%,7,LAT9
Gulbenes 2. vidusskola,3431304,62.18%,38,LAT9
Gulbenes vidusskola,3431309,68.10%,21,LAT9
Gulbīša vidusskola,3431410,63.45%,5,LAT9
Lejasciema vidusskola,3431413,62.40%,14,LAT9
Lizuma vidusskola,3431415,69.09%,11,LAT9
Gulbenes novada valsts ģimnāzija,3461306,69.18%,30,LAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība,3471417,53.27%,5,LAT9
Dzimtmisas pamatskola,3521301,67.78%,9,LAT9
Iecavas vidusskola,3531303,65.09%,58,LAT9
Iecavas internātpamatskola,3581302,63.14%,11,LAT9
Tīnūžu pamatskola,3621403,67.58%,12,LAT9
Ikšķiles vidusskola,3631301,67.75%,46,LAT9
Subates pamatskola,3721309,72.95%,8,LAT9
Eglaines pamatskola,3721403,53.11%,12,LAT9
Ilūkstes 1. vidusskola,3731304,65.40%,32,LAT9
Bebrenes vispārizglītojošā un profesionālā vidusskola,3771401,73.18%,10,LAT9
Inčukalna pamatskola,3821401,71.44%,12,LAT9
Vangažu vidusskola,3833302,59.24%,12,LAT9
Daudzeses pamatskola,3921401,79.70%,3,LAT9
Seces pagasta pamatskola,3921403,69.90%,9,LAT9
Sunākstes pamatskola,3921404,59.39%,3,LAT9
Jaunjelgavas vidusskola,3931302,73.22%,13,LAT9
Jaunpiebalgas vidusskola,4031401,65.16%,31,LAT9
Jaunpils vidusskola,4131401,56.50%,20,LAT9
Platones pamatskola,4221315,57.58%,12,LAT9
Aizupes pamatskola,4221401,66.55%,20,LAT9
Sesavas pamatskola,4221416,61.98%,11,LAT9
Svētes pamatskola,4221419,60.98%,13,LAT9
Šķibes pamatskola,4221420,57.73%,8,LAT9
Vilces pamatskola,4221421,61.93%,8,LAT9
Kalnciema pagasta vidusskola,4231309,61.52%,12,LAT9
Elejas vidusskola,4231402,56.62%,32,LAT9
Kalnciema vidusskola,4231410,64.55%,8,LAT9
Līvbērzes vidusskola,4231414,72.00%,5,LAT9
Staļģenes vidusskola,4231418,69.60%,16,LAT9
Vircavas vidusskola,4231422,65.45%,13,LAT9
Jelgavas novada Neklātienes vidusskola,4241213,42.18%,5,LAT9
Zaļenieku komerciālā un amatniecības vidusskola,4271424,57.06%,17,LAT9
Jelgavas Tehnoloģiju vidusskola,4331201,57.65%,60,LAT9
Jelgavas 4. vidusskola,4331207,53.47%,76,LAT9
Jelgavas Vakara (maiņu) vidusskola,4341217,57.69%,13,LAT9
Jelgavas Spīdolas ģimnāzija,4351216,68.14%,87,LAT9
Jelgavas Valsts ģimnāzija,4361218,68.09%,121,LAT9
Jelgavas Amatu vidusskola,4371211,45.37%,11,LAT9
Jelgavas 1. internātpamatskola,4381203,58.41%,4,LAT9
Ābeļu pamatskola,4421401,59.09%,4,LAT9
Dignājas pamatskola,4421403,77.82%,5,LAT9
Dunavas pamatskola,4421404,45.91%,2,LAT9
Rubeņu pamatskola,4421407,68.03%,6,LAT9
Zasas vidusskola,4431409,70.21%,17,LAT9
Jēkabpils 3. vidusskola,4531202,65.49%,47,LAT9
Jēkabpils vakara vidusskola,4543206,50.33%,11,LAT9
Jēkabpils Valsts ģimnāzija,4561207,68.52%,106,LAT9
Jūrmalas Alternatīvā skola,4621202,78.08%,18,LAT9
Slokas pamatskola,4621219,62.26%,31,LAT9
Vaivaru pamatskola,4621221,78.73%,10,LAT9
Jūrmalas pilsētas Lielupes vidusskola,4631205,63.31%,11,LAT9
Ķemeru vidusskola,4631212,53.64%,8,LAT9
Pumpuru vidusskola,4631216,70.71%,27,LAT9
Majoru vidusskola,4631223,61.20%,34,LAT9
Jūrmalas vakara vidusskola,4643210,48.41%,4,LAT9
Murjāņu sporta ģimnāzija Jūrmalas filiāle,4651215,47.66%,7,LAT9
Jūrmalas Valsts ģimnāzija,4661211,70.14%,59,LAT9
Cēres pamatskola,4721401,80.55%,5,LAT9
Kandavas novada Zantes pamatskola,4721404,68.94%,6,LAT9
Vānes pamatskola,4721407,58.36%,5,LAT9
Zemītes pamatskola,4721408,45.54%,11,LAT9
Kandavas Kārļa Mīlenbaha vidusskola,4731303,58.25%,50,LAT9
Kandavas internātvidusskola,4781302,51.34%,19,LAT9
Mērdzenes pamatskola,4821404,65.08%,12,LAT9
Mežvidu pamatskola,4821405,62.42%,3,LAT9
Salnavas pamatskola,4821406,78.18%,3,LAT9
Kārsavas vidusskola,4831302,73.09%,30,LAT9
Bebru pamatskola,4921401,64.94%,14,LAT9
