IzglītībasIestāde,Kopvērtējums,Kārtotāju skaits,Priekšmets
Suntažu internātpamatskola - rehabilitācijas centrs (prof.),61.78%,6,MAT9
Suntažu vidusskola,65.33%,17,MAT9
Sūnu pamatskola,71.76%,11,MAT9
Sutru pamatskola,53.07%,5,MAT9
Sventes vidusskola,73.67%,8,MAT9
Svētes pamatskola,41.09%,11,MAT9
Š. Dubnova Rīgas Ebreju vidusskola,65.87%,10,MAT9
Šķaunes pamatskola,45.67%,4,MAT9
Šķeltovas pamatskola,61.14%,7,MAT9
Šķibes pamatskola,49.83%,8,MAT9
Špoģu vidusskola,66.07%,27,MAT9
"Tālmācības vidusskola ""Rīgas Komercskola""",57.67%,4,MAT9
Talsu 2. vidusskola,55.43%,49,MAT9
Talsu Kristīgā vidusskola,65.33%,17,MAT9
Talsu novada Vakara un neklātienes vidusskola,30.93%,10,MAT9
Talsu pamatskola,65.00%,20,MAT9
Talsu Valsts ģimnāzija,67.48%,36,MAT9
Tārgales pamatskola,53.24%,14,MAT9
Taurenes pamatskola,46.67%,2,MAT9
Taurupes pamatskola,44.00%,1,MAT9
Teteles pamatskola,53.25%,16,MAT9
Tilžas internātpamatskola,40.00%,3,MAT9
Tilžas vidusskola,68.67%,4,MAT9
Tīnūžu pamatskola,55.07%,10,MAT9
Tirzas pamatskola,53.17%,8,MAT9
Tiskādu vidusskola,53.90%,14,MAT9
Trapenes pamatskola,60.00%,4,MAT9
Trikātas pamatskola,48.48%,11,MAT9
Tukuma 2. pamatskola,60.81%,38,MAT9
Tukuma 2. vidusskola,47.18%,44,MAT9
Tukuma 3. pamatskola,45.14%,14,MAT9
Tukuma E. Birznieka-Upīša 1. pamatskola,61.33%,24,MAT9
Tukuma Raiņa ģimnāzija,71.38%,26,MAT9
Tukuma Vakara un neklātienes vidusskola,29.33%,7,MAT9
Tumes vidusskola,37.29%,28,MAT9
Turlavas pamatskola,38.13%,5,MAT9
Ugāles vidusskola,54.77%,13,MAT9
Ulbrokas vidusskola,55.90%,55,MAT9
Umurgas pamatskola,58.05%,13,MAT9
Upesleju internātpamatskola - rehabilitācijas centrs,31.03%,11,MAT9
Upītes pamatskola,54.67%,8,MAT9
Uzvaras vidusskola,59.24%,14,MAT9
Užavas pamatskola,49.33%,9,MAT9
V. Plūdoņa Kuldīgas ģimnāzija,45.56%,35,MAT9
Vaboles vidusskola,71.83%,8,MAT9
Vaiņodes internātpamatskola,36.92%,13,MAT9
Vaiņodes vidusskola,43.82%,15,MAT9
Vaivaru pamatskola,47.69%,13,MAT9
Valdemārpils vidusskola,61.68%,31,MAT9
Valkas Jāņa Cimzes ģimnāzija,65.83%,40,MAT9
Valmieras 2. vidusskola,48.84%,35,MAT9
Valmieras 5. vidusskola,56.71%,17,MAT9
Valmieras Pārgaujas ģimnāzija,62.79%,85,MAT9
Valmieras tehnikums Rankas teritoriālā struktūrvienība (prof.) (strukt.),25.90%,7,MAT9
Valmieras Valsts ģimnāzija,65.04%,54,MAT9
Valmieras Viestura vidusskola,59.01%,59,MAT9
Vandzenes pamatskola,49.19%,9,MAT9
Vānes pamatskola,47.67%,4,MAT9
Vangažu vidusskola,53.00%,28,MAT9
Varakļānu novada pašvaldības Stirnienes pamatskola,37.67%,4,MAT9
Varakļānu vidusskola,50.42%,22,MAT9
Variņu pamatskola,37.33%,7,MAT9
Vārkavas vidusskola,52.11%,12,MAT9
Vārmes pamatskola,53.50%,8,MAT9
Vecbebru Profesionālā un vispārizglītojošā internātvidusskola (prof.),58.81%,9,MAT9
Vecpiebalgas konsultpunkts (strukt.),72.89%,3,MAT9
Vecpiebalgas vidusskola,57.64%,13,MAT9
Vecsaules pamatskola,40.53%,10,MAT9
Vecumnieku novada Domes Valles vidusskola,48.78%,12,MAT9
Vecumnieku vidusskola,50.50%,24,MAT9
Ventspils 1. pamatskola,63.77%,29,MAT9
Ventspils 2. pamatskola,55.73%,20,MAT9
Ventspils 2. vidusskola,74.50%,40,MAT9
Ventspils 3. vidusskola,59.37%,34,MAT9
Ventspils 4. vidusskola,70.84%,54,MAT9
Ventspils 6. vidusskola,55.68%,58,MAT9
Ventspils Pārventas pamatskola,48.81%,23,MAT9
Ventspils vakara vidusskola,23.88%,11,MAT9
Ventspils Valsts 1. ģimnāzija,69.20%,62,MAT9
Verēmu pamatskola,61.33%,1,MAT9
Vērgales pamatskola,63.26%,9,MAT9
Vestienas pamatskola,56.44%,6,MAT9
Vidagas Sikšņu pamatskola,49.78%,3,MAT9
Vidrižu pamatskola,53.20%,10,MAT9
Viduču pamatskola,55.26%,9,MAT9
Viesītes vidusskola,59.00%,20,MAT9
Vijciema pamatskola,45.60%,5,MAT9
Vilces pamatskola,46.67%,8,MAT9
Vilgāles pamatskola,32.00%,9,MAT9
Viļakas Valsts ģimnāzija,55.73%,20,MAT9
Viļānu vidusskola,50.44%,53,MAT9
Vīpes pamatskola,46.00%,2,MAT9
Virbu pamatskola,58.13%,10,MAT9
Vircavas vidusskola,46.09%,23,MAT9
Virgas pamatskola,40.44%,3,MAT9
Z.A. Meierovica Kabiles pamatskola,60.19%,7,MAT9
Zaķumuižas pamatskola,64.16%,17,MAT9
Zaļenieku komerciālā un amatniecības vidusskola (prof.),52.33%,12,MAT9
Zasas vidusskola,46.25%,16,MAT9
Zaubes pamatskola,56.89%,3,MAT9
Zemgales vidusskola,55.33%,28,MAT9
Zemītes pamatskola,67.56%,9,MAT9
Ziemeļvalstu ģimnāzija,63.14%,68,MAT9
Ziemeru pamatskola,62.06%,11,MAT9
Zilupes vidusskola,63.47%,30,MAT9
Zūru pamatskola,55.33%,12,MAT9
Zvejniekciema vidusskola,54.21%,26,MAT9
Žīguru pamatskola,52.44%,9,MAT9
